Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
840	0.251190	160	0.868750	5.000000	840	0.251190	0.350000	0.361773	
795	0.235220	205	0.819512	5.000000	795	0.235220	0.355000	0.360806	
829	0.243667	171	0.818713	5.000000	829	0.243667	0.342000	0.358455	
807	0.247831	193	0.787565	5.000000	807	0.247831	0.352000	0.357738	
805	0.208696	195	0.866667	5.000000	805	0.208696	0.337000	0.355664	
828	0.234300	172	0.877907	5.000000	828	0.234300	0.345000	0.354695	
797	0.207026	203	0.812808	5.000000	797	0.207026	0.330000	0.352637	
812	0.236453	188	0.835106	5.000000	812	0.236453	0.349000	0.352358	
840	0.222619	160	0.812500	5.000000	840	0.222619	0.317000	0.349832	
821	0.207065	179	0.860335	5.000000	821	0.207065	0.324000	0.348110	
822	0.249392	178	0.808989	5.000000	822	0.249392	0.349000	0.348166	
825	0.216970	175	0.754286	5.000000	825	0.216970	0.311000	0.345980	
834	0.229017	166	0.783133	5.000000	834	0.229017	0.321000	0.344592	
841	0.258026	159	0.842767	5.000000	841	0.258026	0.351000	0.344929	
825	0.208485	175	0.874286	5.000000	825	0.208485	0.325000	0.343933	
819	0.245421	181	0.861878	5.000000	819	0.245421	0.357000	0.344555	
832	0.223558	168	0.857143	5.000000	832	0.223558	0.330000	0.343893	
825	0.254545	175	0.817143	5.000000	825	0.254545	0.353000	0.344289	
830	0.204819	170	0.817647	5.000000	830	0.204819	0.309000	0.342819	
811	0.194821	189	0.867725	5.000000	811	0.194821	0.322000	0.341986	
836	0.267943	164	0.823171	4.283463	836	0.267943	0.359000	0.342641	
789	0.301648	211	0.824645	4.283463	789	0.301648	0.412000	0.345209	
831	0.287605	169	0.834320	4.283463	831	0.287605	0.380000	0.346452	
834	0.262590	166	0.825301	4.283463	834	0.262590	0.356000	0.346781	
857	0.289382	143	0.797203	4.283463	857	0.289382	0.362000	0.347288	
836	0.271531	164	0.786585	4.283463	836	0.271531	0.356000	0.347569	
827	0.253930	173	0.861272	4.283463	827	0.253930	0.359000	0.347927	
843	0.302491	157	0.808917	4.283463	843	0.302491	0.382000	0.348959	
838	0.272076	162	0.820988	4.283463	838	0.272076	0.361000	0.349313	
829	0.275030	171	0.824561	4.283463	829	0.275030	0.369000	0.349876	
839	0.250298	161	0.826087	4.283463	839	0.250298	0.343000	0.349685	
828	0.288647	172	0.802326	4.283463	828	0.288647	0.377000	0.350423	
847	0.275089	153	0.797386	4.283463	847	0.275089	0.355000	0.350543	
827	0.264813	173	0.832370	4.283463	827	0.264813	0.363000	0.350863	
829	0.279855	171	0.830409	4.283463	829	0.279855	0.374000	0.351441	
833	0.258103	167	0.808383	4.283463	833	0.258103	0.350000	0.351406	
825	0.249697	175	0.862857	4.283463	825	0.249697	0.357000	0.351539	
827	0.279323	173	0.803468	4.283463	827	0.279323	0.370000	0.351969	
810	0.306173	190	0.847368	4.283463	810	0.306173	0.409000	0.353265	
834	0.286571	166	0.843373	4.283463	834	0.286571	0.379000	0.353837	
843	0.245552	157	0.796178	4.283463	843	0.245552	0.332000	0.353362	
819	0.318681	181	0.790055	4.283463	819	0.318681	0.404000	0.354439	
818	0.287286	182	0.791209	4.283463	818	0.287286	0.379000	0.354951	
820	0.284146	180	0.850000	4.283463	820	0.284146	0.386000	0.355585	
830	0.291566	170	0.817647	4.283463	830	0.291566	0.381000	0.356093	
835	0.292216	165	0.836364	4.283463	835	0.292216	0.382000	0.356601	
847	0.283353	153	0.849673	4.283463	847	0.283353	0.370000	0.356859	
