Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            371628164
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
6000	-8.104492	300	2.202062	5.639245	0.082269	0.917731	0.645800	0.354200	0.003710	0.996290	
7000	-9.483539	387	1.743924	7.337864	0.020073	0.979927	0.264807	0.735193	0.001208	0.998792	
8000	-9.008237	483	9.100336	1.263321	0.375339	0.624661	0.987895	0.012105	0.038827	0.961173	
9000	-8.605664	36	17.189690	20.510091	0.454569	0.545431	--	--	0.067742	0.932258	
10000	-9.507221	176	2.323874	12.149092	0.048337	0.951663	--	--	0.002872	0.997128	
11000	-8.120687	24	8.929483	5.714318	0.374738	0.625262	0.965376	0.034624	0.039992	0.960008	
12000	-7.428185	243	5.207323	4.115851	0.264613	0.735387	0.902929	0.097071	0.011118	0.988882	
13000	-8.651469	210	11.888796	14.777860	0.439721	0.560279	--	--	0.153107	0.846893	
14000	-7.661094	20	7.264355	6.370320	0.246621	0.753379	--	--	0.026795	0.973205	
15000	-7.732847	26	10.689382	8.251774	0.367852	0.632148	0.962998	0.037002	0.034700	0.965300	
16000	-7.487209	460	4.748968	3.826322	0.165455	0.834545	--	--	0.007343	0.992657	
17000	-7.840553	262	12.324315	9.382381	0.416702	0.583298	--	--	0.056281	0.943719	
18000	-9.427482	357	0.757967	1.807273	0.002316	0.997684	--	--	0.000259	0.999741	
19000	-8.453827	235	2.859026	4.131506	0.108278	0.891722	--	--	0.002811	0.997189	
20000	-7.907431	379	13.784478	9.431485	0.403803	0.596197	0.660195	0.339805	0.080843	0.919157	
21000	-7.738516	488	6.801066	8.119506	0.331227	0.668773	0.924101	0.075899	0.012184	0.987816	
22000	-7.774468	367	4.319787	4.789548	0.129216	0.870784	--	--	0.005022	0.994978	
23000	-9.819299	391	33.004765	26.520343	0.499614	0.500386	0.915658	0.084342	0.299251	0.700749	
24000	-8.308870	488	11.618892	3.297524	0.451264	0.548736	0.986141	0.013859	0.029790	0.970210	
25000	-7.539287	287	5.228501	4.753457	0.153861	0.846139	--	--	0.012726	0.987274	
26000	-9.189015	28	0.647960	5.162851	0.003099	0.996901	--	--	0.000202	0.999798	
27000	-7.489965	296	7.269367	3.818097	0.268453	0.731547	--	--	0.010717	0.989283	
28000	-7.873046	140	5.606363	5.881359	0.246150	0.753850	--	--	0.012438	0.987562	
29000	-8.150835	122	4.591084	6.495119	0.147657	0.852343	--	--	0.022769	0.977231	
30000	-7.854685	262	3.699050	3.620044	0.129704	0.870296	--	--	0.005534	0.994466	
31000	-7.337897	93	4.918275	5.840664	0.149227	0.850773	0.857765	0.142235	0.009721	0.990279	
32000	-9.289114	261	1.908916	0.985450	0.078188	0.921812	0.994309	0.005691	0.001860	0.998140	
33000	-7.961191	459	6.114182	4.802601	0.256968	0.743032	0.994767	0.005233	0.007152	0.992848	
34000	-7.348258	41	4.388357	5.739444	0.136619	0.863381	0.974962	0.025038	0.008892	0.991108	
