Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
839	0.352801	161	0.776398	3.425537	839	0.352801	0.421000	0.390102	
828	0.386473	172	0.872093	3.425537	828	0.386473	0.470000	0.401514	
849	0.341578	151	0.834437	3.425537	849	0.341578	0.416000	0.403325	
831	0.373045	169	0.810651	3.425537	831	0.373045	0.447000	0.408177	
830	0.397590	170	0.811765	3.425537	830	0.397590	0.468000	0.414159	
844	0.329384	156	0.807692	3.425537	844	0.329384	0.404000	0.413235	
852	0.379108	148	0.844595	3.425537	852	0.379108	0.448000	0.416132	
857	0.380397	143	0.832168	3.425537	857	0.380397	0.445000	0.418352	
838	0.355609	162	0.783951	3.425537	838	0.355609	0.425000	0.418827	
807	0.394052	193	0.792746	3.425537	807	0.394052	0.471000	0.422305	
816	0.372549	184	0.782609	3.425537	816	0.372549	0.448000	0.423911	
853	0.385698	147	0.850340	3.425537	853	0.385698	0.454000	0.425681	
834	0.359712	166	0.795181	3.425537	834	0.359712	0.432000	0.426032	
834	0.364508	166	0.867470	3.425537	834	0.364508	0.448000	0.427188	
841	0.341260	159	0.779874	3.425537	841	0.341260	0.411000	0.426379	
836	0.349282	164	0.774390	3.425537	836	0.349282	0.419000	0.426027	
797	0.338770	203	0.802956	3.425537	797	0.338770	0.433000	0.426344	
805	0.326708	195	0.815385	3.425537	805	0.326708	0.422000	0.426155	
836	0.349282	164	0.792683	3.425537	836	0.349282	0.422000	0.425982	
841	0.335315	159	0.836478	3.425537	841	0.335315	0.415000	0.425543	
820	0.376829	180	0.816667	3.425537	820	0.376829	0.456000	0.426714	
817	0.367197	183	0.797814	3.425537	817	0.367197	0.446000	0.427429	
820	0.320732	180	0.761111	3.425537	820	0.320732	0.400000	0.426449	
834	0.340528	166	0.801205	3.425537	834	0.340528	0.417000	0.426123	
