Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_fossilised_run2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4251987733
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_fossilised_run2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	FNode	5	Sheep Goat Cow Buffalo Pronghorn 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - uniform 0.00 100.00 
        qGD - uniform 0.00 100.00 
Node reconstruction / fossilisation:
	Fossil Node01 FNode D 
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	Node01 P(D)	Node01 P(G)	
6000	-7.829743	350	10.895845	4.936892	0.405476	0.594524	1.000000	0.000000	
7000	-8.635500	316	15.223699	16.493269	0.424580	0.575420	1.000000	0.000000	
8000	-8.351427	435	12.882678	13.035710	0.436145	0.563855	1.000000	0.000000	
9000	-9.004912	475	20.899365	27.323731	0.480746	0.519254	1.000000	0.000000	
10000	-11.198462	4	14.987026	44.481529	0.473335	0.526665	1.000000	0.000000	
11000	-10.179747	327	7.073814	22.026350	0.378895	0.621105	1.000000	0.000000	
12000	-10.979593	50	63.789597	57.565361	0.499940	0.500060	1.000000	0.000000	
13000	-11.112949	154	8.730867	33.816854	0.460652	0.539348	1.000000	0.000000	
14000	-8.427175	334	15.584521	10.038189	0.399941	0.600059	1.000000	0.000000	
15000	-12.783110	494	82.568312	36.492481	0.499988	0.500012	1.000000	0.000000	
16000	-10.361783	292	20.573276	39.979255	0.491586	0.508414	1.000000	0.000000	
17000	-10.307787	151	40.488317	40.744432	0.498854	0.501146	1.000000	0.000000	
18000	-10.565665	29	33.205865	44.279145	0.498681	0.501319	1.000000	0.000000	
19000	-7.923500	202	7.635387	8.709206	0.327977	0.672023	1.000000	0.000000	
20000	-10.923948	221	56.918296	36.841256	0.499898	0.500102	1.000000	0.000000	
21000	-9.229059	200	11.135220	24.676975	0.428397	0.571603	1.000000	0.000000	
22000	-11.903713	151	44.870693	19.203923	0.496764	0.503236	1.000000	0.000000	
23000	-9.620587	435	23.751434	29.649356	0.494576	0.505424	1.000000	0.000000	
24000	-8.039211	302	3.735287	9.974088	0.094328	0.905672	1.000000	0.000000	
25000	-8.827120	145	5.075948	14.259733	0.243644	0.756356	1.000000	0.000000	
26000	-8.639896	162	9.961671	4.793435	0.340036	0.659964	1.000000	0.000000	
27000	-9.851436	132	34.701454	14.179934	0.489589	0.510411	1.000000	0.000000	
28000	-8.079356	342	22.157630	12.238368	0.479638	0.520362	1.000000	0.000000	
29000	-10.969714	171	63.064202	52.825950	0.499989	0.500011	1.000000	0.000000	
30000	-7.771872	262	8.865461	9.943654	0.362530	0.637470	1.000000	0.000000	
31000	-10.499573	129	58.209538	47.192139	0.499811	0.500189	1.000000	0.000000	
32000	-11.045261	197	8.893069	30.737729	0.464988	0.535012	1.000000	0.000000	
33000	-10.367491	206	49.863858	60.710839	0.499966	0.500034	1.000000	0.000000	
34000	-9.353875	77	19.575985	34.147282	0.492240	0.507760	1.000000	0.000000	
35000	-8.076887	293	6.373640	2.190713	0.330994	0.669006	1.000000	0.000000	
36000	-10.424601	129	39.982228	74.822355	0.499854	0.500146	1.000000	0.000000	
37000	-10.927019	393	21.659278	56.525182	0.498675	0.501325	1.000000	0.000000	
38000	-8.661961	179	3.599059	2.893160	0.109504	0.890496	1.000000	0.000000	
39000	-10.394328	386	28.634561	11.761359	0.466631	0.533369	1.000000	0.000000	
40000	-10.563935	104	13.163554	40.995683	0.467287	0.532713	1.000000	0.000000	
41000	-11.341271	27	18.686978	59.269443	0.499642	0.500358	1.000000	0.000000	
42000	-7.853620	491	2.538491	4.564549	0.058313	0.941687	1.000000	0.000000	
43000	-10.372276	312	10.345326	28.214662	0.427043	0.572957	1.000000	0.000000	
44000	-11.051037	78	76.524232	89.337561	0.499993	0.500007	1.000000	0.000000	
45000	-8.175441	365	4.143109	4.434668	0.141466	0.858534	1.000000	0.000000	
46000	-9.601259	336	28.980638	34.682122	0.496555	0.503445	1.000000	0.000000	
47000	-8.948202	486	21.077371	7.034289	0.456462	0.543538	1.000000	0.000000	
48000	-10.107787	50	29.303951	13.562838	0.482394	0.517606	1.000000	0.000000	
49000	-9.298159	46	29.347830	42.653626	0.488616	0.511384	1.000000	0.000000	
50000	-8.424152	192	2.452154	6.166878	0.086840	0.913160	1.000000	0.000000	
51000	-7.599221	112	7.977806	2.759345	0.286737	0.713263	1.000000	0.000000	
52000	-11.929194	255	47.787698	14.884583	0.496485	0.503515	1.000000	0.000000	
53000	-7.755115	299	4.937779	3.195540	0.248500	0.751500	1.000000	0.000000	
54000	-8.446235	170	16.423404	10.233771	0.435127	0.564873	1.000000	0.000000	
55000	-8.669236	62	0.913971	5.136566	0.007504	0.992496	1.000000	0.000000	
56000	-8.129455	333	16.921928	12.912741	0.470614	0.529386	1.000000	0.000000	
57000	-9.584067	264	15.496051	31.492264	0.487360	0.512640	1.000000	0.000000	
58000	-7.439501	320	8.740689	9.253928	0.299057	0.700943	1.000000	0.000000	
59000	-8.948646	369	4.920962	14.938888	0.225672	0.774328	1.000000	0.000000	
60000	-8.302345	332	8.339965	16.050613	0.345395	0.654605	1.000000	0.000000	
61000	-10.193354	444	21.470304	3.922131	0.463200	0.536800	1.000000	0.000000	
62000	-8.186865	50	10.377127	11.590698	0.360548	0.639452	1.000000	0.000000	
63000	-7.804611	192	8.795024	4.037944	0.349719	0.650281	1.000000	0.000000	
64000	-10.119731	67	47.417208	48.802872	0.499706	0.500294	1.000000	0.000000	
65000	-8.271067	81	11.125862	7.036894	0.382017	0.617983	1.000000	0.000000	
66000	-11.138193	282	6.025748	25.675348	0.418227	0.581773	1.000000	0.000000	
67000	-10.681504	363	37.520205	69.444864	0.499880	0.500120	1.000000	0.000000	
68000	-7.732440	104	10.115093	7.761848	0.311108	0.688892	1.000000	0.000000	
69000	-8.858460	456	4.565318	12.058686	0.179370	0.820630	1.000000	0.000000	
70000	-10.673159	130	58.997455	57.829421	0.499909	0.500091	1.000000	0.000000	
71000	-8.733679	439	27.842080	12.375942	0.482699	0.517301	1.000000	0.000000	
72000	-8.594496	162	11.977399	11.204789	0.394100	0.605900	1.000000	0.000000	
73000	-12.104868	223	66.676555	32.025734	0.499644	0.500356	1.000000	0.000000	
74000	-8.510511	404	8.845506	14.708051	0.379405	0.620595	1.000000	0.000000	
75000	-9.627144	94	27.045796	42.362700	0.493603	0.506397	1.000000	0.000000	
76000	-9.905154	304	26.972229	26.387652	0.495734	0.504266	1.000000	0.000000	
77000	-10.361776	389	22.526597	57.405716	0.480425	0.519575	1.000000	0.000000	
78000	-10.040719	232	34.725824	19.601590	0.492245	0.507755	1.000000	0.000000	
79000	-7.701707	377	8.915100	7.316250	0.319121	0.680879	1.000000	0.000000	
80000	-11.147581	108	51.783118	98.710416	0.500000	0.500000	1.000000	0.000000	
81000	-7.921295	178	1.805995	4.030664	0.038102	0.961898	1.000000	0.000000	
82000	-8.235209	296	2.899377	1.653818	0.084935	0.915065	1.000000	0.000000	
83000	-10.713681	285	77.278945	87.449061	0.500000	0.500000	1.000000	0.000000	
84000	-9.261618	174	31.232769	33.079051	0.493872	0.506128	1.000000	0.000000	
85000	-11.258840	247	16.130349	46.001998	0.488833	0.511167	1.000000	0.000000	
86000	-10.691661	72	69.790175	84.080834	0.500000	0.500000	1.000000	0.000000	
87000	-8.892665	495	5.091797	12.093057	0.356286	0.643714	1.000000	0.000000	
88000	-7.579197	287	6.600389	4.165991	0.211358	0.788642	1.000000	0.000000	
89000	-8.928610	475	20.487482	25.965840	0.478095	0.521905	1.000000	0.000000	
90000	-7.951399	437	12.537889	10.251231	0.407473	0.592527	1.000000	0.000000	
91000	-10.942231	37	42.268695	15.797823	0.494718	0.505282	1.000000	0.000000	
92000	-7.643730	233	10.200059	4.966157	0.309017	0.690983	1.000000	0.000000	
93000	-10.036411	58	30.516738	17.834957	0.485943	0.514057	1.000000	0.000000	
94000	-7.947582	229	10.392938	12.519100	0.374461	0.625539	1.000000	0.000000	
95000	-9.781524	136	32.752355	31.143317	0.495165	0.504835	1.000000	0.000000	
96000	-10.275409	217	19.640875	39.801108	0.491294	0.508706	1.000000	0.000000	
97000	-9.102791	477	14.580507	19.402088	0.447377	0.552623	1.000000	0.000000	
98000	-9.197339	444	22.796705	16.515009	0.481571	0.518429	1.000000	0.000000	
99000	-8.340864	458	12.988011	3.396637	0.408895	0.591105	1.000000	0.000000	
100000	-8.861810	493	11.116809	1.384446	0.463601	0.536399	1.000000	0.000000	
101000	-9.781517	473	30.770553	32.101924	0.491979	0.508021	1.000000	0.000000	
102000	-8.964481	192	20.835240	7.502172	0.474114	0.525886	1.000000	0.000000	
103000	-11.127756	373	42.600595	84.840790	0.499993	0.500007	1.000000	0.000000	
104000	-8.053372	255	14.510407	7.626745	0.405877	0.594123	1.000000	0.000000	
105000	-11.703162	72	63.076507	33.744387	0.499970	0.500030	1.000000	0.000000	
106000	-8.224714	332	13.543167	6.787292	0.383422	0.616578	1.000000	0.000000	
107000	-10.341023	428	17.583220	42.439397	0.486698	0.513302	1.000000	0.000000	
108000	-8.052106	446	14.439964	5.701585	0.398443	0.601557	1.000000	0.000000	
109000	-8.915457	402	18.190196	23.481199	0.468382	0.531618	1.000000	0.000000	
110000	-9.330286	42	24.495262	19.403589	0.482528	0.517472	1.000000	0.000000	
111000	-10.933993	135	66.901345	66.570177	0.499995	0.500005	1.000000	0.000000	
112000	-8.578977	212	5.720591	13.243727	0.180935	0.819065	1.000000	0.000000	
113000	-8.364663	33	12.286370	12.746228	0.437673	0.562327	1.000000	0.000000	
114000	-10.337868	133	48.828616	66.835683	0.499860	0.500140	1.000000	0.000000	
115000	-8.375068	455	10.815427	15.571042	0.422929	0.577071	1.000000	0.000000	
116000	-7.880136	339	5.416845	4.654156	0.295058	0.704942	1.000000	0.000000	
117000	-10.049811	452	34.199872	25.807706	0.495572	0.504428	1.000000	0.000000	
118000	-10.929521	223	75.982989	87.072169	0.499995	0.500005	1.000000	0.000000	
119000	-8.224193	285	14.248893	11.612552	0.453261	0.546739	1.000000	0.000000	
120000	-10.648790	334	46.793130	73.625837	0.499763	0.500237	1.000000	0.000000	
121000	-10.696295	94	67.276445	82.179754	0.499978	0.500022	1.000000	0.000000	
122000	-7.318834	447	7.571327	7.782115	0.175851	0.824149	1.000000	0.000000	
123000	-7.523346	124	7.967929	3.465102	0.307073	0.692927	1.000000	0.000000	
124000	-9.433392	221	4.481479	13.999970	0.236386	0.763614	1.000000	0.000000	
125000	-9.621521	175	23.637529	21.805229	0.491900	0.508100	1.000000	0.000000	
126000	-11.026896	306	40.442861	82.985676	0.499521	0.500479	1.000000	0.000000	
127000	-8.190303	432	11.785033	13.043248	0.380396	0.619604	1.000000	0.000000	
128000	-10.055075	75	20.840661	40.639246	0.497836	0.502164	1.000000	0.000000	
129000	-8.653377	81	2.513813	3.997906	0.059659	0.940341	1.000000	0.000000	
130000	-8.918950	348	15.867829	16.910205	0.437937	0.562063	1.000000	0.000000	
131000	-10.073373	269	32.939330	49.962070	0.495626	0.504374	1.000000	0.000000	
132000	-8.719488	289	9.907301	2.792370	0.436436	0.563564	1.000000	0.000000	
133000	-8.819543	451	19.754214	15.074350	0.462775	0.537225	1.000000	0.000000	
134000	-11.087483	75	90.945702	96.605927	0.500000	0.500000	1.000000	0.000000	
135000	-9.671553	333	26.244680	9.079322	0.487721	0.512279	1.000000	0.000000	
136000	-7.735395	346	6.143624	4.775205	0.213948	0.786052	1.000000	0.000000	
137000	-10.950006	477	58.028877	85.259711	0.499986	0.500014	1.000000	0.000000	
138000	-7.435269	333	9.383658	8.252172	0.379901	0.620099	1.000000	0.000000	
