Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
827	0.309553	173	0.780347	5.000000	827	0.309553	0.391000	0.362440	
861	0.301974	139	0.812950	5.000000	861	0.301974	0.373000	0.363948	
834	0.304556	166	0.867470	5.000000	834	0.304556	0.398000	0.368204	
823	0.312272	177	0.875706	5.000000	823	0.312272	0.412000	0.373070	
807	0.303594	193	0.849741	5.000000	807	0.303594	0.409000	0.376662	
847	0.325856	153	0.764706	5.000000	847	0.325856	0.393000	0.378147	
833	0.316927	167	0.760479	5.000000	833	0.316927	0.391000	0.379218	
836	0.289474	164	0.853659	5.000000	836	0.289474	0.382000	0.379432	
816	0.302696	184	0.793478	5.000000	816	0.302696	0.393000	0.380401	
835	0.306587	165	0.854545	5.000000	835	0.306587	0.397000	0.381508	
809	0.280593	191	0.774869	5.000000	809	0.280593	0.375000	0.381101	
825	0.293333	175	0.891429	5.000000	825	0.293333	0.398000	0.382095	
858	0.284382	142	0.852113	5.000000	858	0.284382	0.365000	0.381145	
834	0.324940	166	0.843373	5.000000	834	0.324940	0.411000	0.382717	
806	0.301489	194	0.824742	5.000000	806	0.301489	0.403000	0.383731	
856	0.289720	144	0.881944	5.000000	856	0.289720	0.375000	0.383315	
839	0.301549	161	0.826087	5.000000	839	0.301549	0.386000	0.383437	
819	0.329670	181	0.779006	5.000000	819	0.329670	0.411000	0.384635	
838	0.292363	162	0.827160	5.000000	838	0.292363	0.379000	0.384401	
814	0.334152	186	0.849462	5.000000	814	0.334152	0.430000	0.386225	
820	0.296341	180	0.811111	5.000000	820	0.296341	0.389000	0.386331	
825	0.281212	175	0.868571	5.000000	825	0.281212	0.384000	0.386245	
854	0.316159	146	0.815068	5.000000	854	0.316159	0.389000	0.386343	
847	0.303424	153	0.823529	5.000000	847	0.303424	0.383000	0.386228	
836	0.299043	164	0.810976	5.000000	836	0.299043	0.383000	0.386120	
830	0.312048	170	0.811765	5.000000	830	0.312048	0.397000	0.386471	
820	0.310976	180	0.850000	5.000000	820	0.310976	0.408000	0.387144	
834	0.300959	166	0.819277	5.000000	834	0.300959	0.387000	0.387140	
837	0.293907	163	0.858896	5.000000	837	0.293907	0.386000	0.387106	
842	0.327791	158	0.772152	5.000000	842	0.327791	0.398000	0.387418	
811	0.319359	189	0.830688	5.000000	811	0.319359	0.416000	0.388211	
833	0.280912	167	0.808383	5.000000	833	0.280912	0.369000	0.387692	
840	0.284524	160	0.831250	5.000000	840	0.284524	0.372000	0.387279	
836	0.325359	164	0.853659	5.000000	836	0.325359	0.412000	0.387913	
833	0.292917	167	0.790419	5.000000	833	0.292917	0.376000	0.387615	
814	0.330467	186	0.838710	5.000000	814	0.330467	0.425000	0.388527	
814	0.318182	186	0.790323	5.000000	814	0.318182	0.406000	0.388943	
835	0.320958	165	0.806061	5.000000	835	0.320958	0.401000	0.389224	
856	0.313084	144	0.798611	5.000000	856	0.313084	0.383000	0.389082	
808	0.339109	192	0.843750	5.000000	808	0.339109	0.436000	0.390125	
820	0.301220	180	0.844444	5.000000	820	0.301220	0.399000	0.390318	
836	0.297847	164	0.841463	5.000000	836	0.297847	0.387000	0.390247	
841	0.288942	159	0.842767	5.000000	841	0.288942	0.377000	0.389971	
842	0.309976	158	0.816456	5.000000	842	0.309976	0.390000	0.389972	
849	0.313310	151	0.827815	5.000000	849	0.313310	0.391000	0.389992	
840	0.294048	160	0.862500	5.000000	840	0.294048	0.385000	0.389894	
819	0.296703	181	0.823204	5.000000	819	0.296703	0.392000	0.389935	
825	0.323636	175	0.834286	5.000000	825	0.323636	0.413000	0.390370	
825	0.311515	175	0.760000	5.000000	825	0.311515	0.390000	0.390363	
840	0.341667	160	0.850000	5.000000	840	0.341667	0.423000	0.390957	
826	0.267554	174	0.798851	5.000000	826	0.267554	0.360000	0.390404	
839	0.315852	161	0.795031	5.000000	839	0.315852	0.393000	0.390449	
852	0.332160	148	0.790541	5.000000	852	0.332160	0.400000	0.390614	
828	0.310386	172	0.802326	5.000000	828	0.310386	0.395000	0.390688	
820	0.292683	180	0.811111	5.000000	820	0.292683	0.386000	0.390610	
829	0.307600	171	0.766082	5.000000	829	0.307600	0.386000	0.390535	
817	0.307222	183	0.846995	5.000000	817	0.307222	0.406000	0.390784	
827	0.285369	173	0.791908	5.000000	827	0.285369	0.373000	0.390502	
826	0.307506	174	0.839080	5.000000	826	0.307506	0.400000	0.390650	
817	0.305998	183	0.825137	5.000000	817	0.305998	0.401000	0.390809	
861	0.328688	139	0.820144	5.000000	861	0.328688	0.397000	0.390903	
831	0.324910	169	0.757396	5.000000	831	0.324910	0.398000	0.391009	
833	0.284514	167	0.826347	5.000000	833	0.284514	0.375000	0.390774	
832	0.300481	168	0.851190	5.000000	832	0.300481	0.393000	0.390806	
850	0.309412	150	0.846667	5.000000	850	0.309412	0.390000	0.390794	
823	0.329283	177	0.790960	5.000000	823	0.329283	0.411000	0.391079	
844	0.302133	156	0.833333	5.000000	844	0.302133	0.385000	0.390995	
822	0.295620	178	0.820225	5.000000	822	0.295620	0.389000	0.390967	
830	0.278313	170	0.770588	5.000000	830	0.278313	0.362000	0.390576	
838	0.276850	162	0.814815	5.000000	838	0.276850	0.364000	0.390221	
852	0.269953	148	0.817568	5.000000	852	0.269953	0.351000	0.389705	
841	0.293698	159	0.855346	5.000000	841	0.293698	0.383000	0.389618	
