Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
817	0.313341	183	0.546448	1.857862	817	0.313341	0.356000	0.250523	
849	0.296820	151	0.549669	1.857862	849	0.296820	0.335000	0.257562	
817	0.309670	183	0.448087	1.857862	817	0.309670	0.335000	0.263518	
834	0.304556	166	0.548193	1.857862	834	0.304556	0.345000	0.269338	
832	0.290865	168	0.440476	1.857862	832	0.290865	0.316000	0.272449	
850	0.263529	150	0.493333	1.857862	850	0.263529	0.298000	0.274045	
825	0.270303	175	0.577143	1.857862	825	0.270303	0.324000	0.276984	
845	0.306509	155	0.316129	1.857862	845	0.306509	0.308000	0.278707	
836	0.297847	164	0.414634	1.857862	836	0.297847	0.317000	0.280722	
821	0.249695	179	0.541899	1.857862	821	0.249695	0.302000	0.281786	
826	0.289346	174	0.396552	1.857862	826	0.289346	0.308000	0.283034	
806	0.282878	194	0.484536	1.857862	806	0.282878	0.322000	0.284805	
822	0.322384	178	0.505618	1.857862	822	0.322384	0.355000	0.287857	
822	0.302920	178	0.471910	1.857862	822	0.302920	0.333000	0.289738	
820	0.258537	180	0.527778	1.857862	820	0.258537	0.307000	0.290428	
840	0.279762	160	0.437500	1.857862	840	0.279762	0.305000	0.290989	
835	0.246707	165	0.478788	1.857862	835	0.246707	0.285000	0.290767	
828	0.234300	172	0.534884	1.857862	828	0.234300	0.286000	0.290597	
833	0.300120	167	0.467066	1.857862	833	0.300120	0.328000	0.291886	
812	0.251232	188	0.579787	1.857862	812	0.251232	0.313000	0.292590	
829	0.289505	171	0.467836	1.857862	829	0.289505	0.320000	0.293474	
821	0.297199	179	0.530726	1.857862	821	0.297199	0.339000	0.294897	
851	0.289072	149	0.536913	1.857862	851	0.289072	0.326000	0.295840	
826	0.340194	174	0.419540	1.857862	826	0.340194	0.354000	0.297550	
819	0.352869	181	0.414365	1.857862	819	0.352869	0.364000	0.299449	
805	0.309317	195	0.589744	1.857862	805	0.309317	0.364000	0.301242	
824	0.322816	176	0.494318	1.857862	824	0.322816	0.353000	0.302640	
824	0.268204	176	0.534091	1.857862	824	0.268204	0.315000	0.302966	
842	0.302850	158	0.398734	1.857862	842	0.302850	0.318000	0.303351	
854	0.314988	146	0.486301	1.857862	854	0.314988	0.340000	0.304267	
831	0.269555	169	0.372781	1.857862	831	0.269555	0.287000	0.303846	
821	0.270402	179	0.435754	1.857862	821	0.270402	0.300000	0.303755	
828	0.303140	172	0.540698	1.857862	828	0.303140	0.344000	0.304691	
816	0.321078	184	0.429348	1.857862	816	0.321078	0.341000	0.305516	
832	0.308894	168	0.470238	1.857862	832	0.308894	0.336000	0.306193	
848	0.260613	152	0.486842	1.857862	848	0.260613	0.295000	0.305950	
836	0.300239	164	0.481707	1.857862	836	0.300239	0.330000	0.306462	
826	0.322034	174	0.471264	1.857862	826	0.322034	0.348000	0.307327	
812	0.323892	188	0.462766	1.857862	812	0.323892	0.350000	0.308198	
812	0.309113	188	0.494681	1.857862	812	0.309113	0.344000	0.308914	
830	0.278313	170	0.470588	1.857862	830	0.278313	0.311000	0.308955	
844	0.330569	156	0.570513	1.857862	844	0.330569	0.368000	0.310090	
837	0.254480	163	0.490798	1.857862	837	0.254480	0.293000	0.309768	
826	0.289346	174	0.482759	1.857862	826	0.289346	0.323000	0.310013	
833	0.286915	167	0.425150	1.857862	833	0.286915	0.310000	0.310013	
824	0.292476	176	0.437500	1.857862	824	0.292476	0.318000	0.310155	
835	0.264671	165	0.454545	1.857862	835	0.264671	0.296000	0.309907	
826	0.302663	174	0.534483	1.857862	826	0.302663	0.343000	0.310477	
825	0.281212	175	0.462857	1.857862	825	0.281212	0.313000	0.310520	
832	0.296875	168	0.446429	1.857862	832	0.296875	0.322000	0.310711	
835	0.316168	165	0.551515	1.857862	835	0.316168	0.355000	0.311438	
826	0.347458	174	0.454023	1.857862	826	0.347458	0.366000	0.312318	
803	0.302615	197	0.446701	1.857862	803	0.302615	0.331000	0.312614	
794	0.316121	206	0.368932	1.857862	794	0.316121	0.327000	0.312839	
852	0.268779	148	0.527027	1.857862	852	0.268779	0.307000	0.312749	
840	0.292857	160	0.425000	1.857862	840	0.292857	0.314000	0.312768	
862	0.309745	138	0.463768	1.857862	862	0.309745	0.331000	0.313040	
841	0.281807	159	0.490566	1.857862	841	0.281807	0.315000	0.313069	
836	0.290670	164	0.487805	1.857862	836	0.290670	0.323000	0.313213	
827	0.301088	173	0.445087	1.857862	827	0.301088	0.326000	0.313396	
832	0.310096	168	0.410714	1.857862	832	0.310096	0.327000	0.313587	
854	0.268150	146	0.691781	1.857862	854	0.268150	0.330000	0.313815	
819	0.262515	181	0.441989	1.857862	819	0.262515	0.295000	0.313557	
832	0.299279	168	0.553571	1.857862	832	0.299279	0.342000	0.313942	
823	0.287971	177	0.480226	1.857862	823	0.287971	0.322000	0.314049	
833	0.289316	167	0.502994	1.857862	833	0.289316	0.325000	0.314193	
818	0.289731	182	0.560440	1.857862	818	0.289731	0.339000	0.314515	
821	0.286236	179	0.413408	1.857862	821	0.286236	0.309000	0.314445	
816	0.281863	184	0.516304	1.857862	816	0.281863	0.325000	0.314578	
813	0.335793	187	0.582888	1.857862	813	0.335793	0.382000	0.315421	
831	0.283995	169	0.461538	1.857862	831	0.283995	0.314000	0.315404	
838	0.299523	162	0.487654	1.857862	838	0.299523	0.330000	0.315582	
819	0.284493	181	0.530387	1.857862	819	0.284493	0.329000	0.315743	
828	0.298309	172	0.459302	1.857862	828	0.298309	0.326000	0.315865	
845	0.256805	155	0.425806	1.857862	845	0.256805	0.283000	0.315479	
818	0.281174	182	0.489011	1.857862	818	0.281174	0.319000	0.315520	
846	0.277778	154	0.474026	1.857862	846	0.277778	0.308000	0.315433	
806	0.261787	194	0.489691	1.857862	806	0.261787	0.306000	0.315326	
825	0.306667	175	0.497143	1.857862	825	0.306667	0.340000	0.315603	
804	0.287313	196	0.540816	1.857862	804	0.287313	0.337000	0.315841	
806	0.276675	194	0.417526	1.857862	806	0.276675	0.304000	0.315711	
838	0.307876	162	0.475309	1.857862	838	0.307876	0.335000	0.315920	
805	0.293168	195	0.533333	1.857862	805	0.293168	0.340000	0.316179	
835	0.313772	165	0.333333	1.857862	835	0.313772	0.317000	0.316188	
829	0.312425	171	0.461988	1.857862	829	0.312425	0.338000	0.316418	
819	0.274725	181	0.508287	1.857862	819	0.274725	0.317000	0.316424	
807	0.291202	193	0.528497	1.857862	807	0.291202	0.337000	0.316636	
806	0.313896	194	0.510309	1.857862	806	0.313896	0.352000	0.316997	
830	0.306024	170	0.529412	1.857862	830	0.306024	0.344000	0.317270	
837	0.287933	163	0.490798	1.857862	837	0.287933	0.321000	0.317307	
814	0.310811	186	0.569892	1.857862	814	0.310811	0.359000	0.317720	
816	0.305147	184	0.472826	1.857862	816	0.305147	0.336000	0.317899	
805	0.258385	195	0.497436	1.857862	805	0.258385	0.305000	0.317774	
829	0.299156	171	0.461988	1.857862	829	0.299156	0.327000	0.317862	
817	0.310894	183	0.486339	1.857862	817	0.310894	0.343000	0.318102	
813	0.298893	187	0.411765	1.857862	813	0.298893	0.320000	0.318120	
813	0.329643	187	0.363636	1.857862	813	0.329643	0.336000	0.318287	
841	0.306778	159	0.503145	1.857862	841	0.306778	0.338000	0.318469	
816	0.279412	184	0.521739	1.857862	816	0.279412	0.324000	0.318520	
831	0.297232	169	0.473373	1.857862	831	0.297232	0.327000	0.318597	
838	0.324582	162	0.456790	1.857862	838	0.324582	0.346000	0.318844	
799	0.335419	201	0.502488	1.857862	799	0.335419	0.369000	0.319292	
828	0.265700	172	0.494186	1.857862	828	0.265700	0.305000	0.319165	
839	0.262217	161	0.416149	1.857862	839	0.262217	0.287000	0.318883	
836	0.303828	164	0.426829	1.857862	836	0.303828	0.324000	0.318928	
835	0.301796	165	0.496970	1.857862	835	0.301796	0.334000	0.319058	
829	0.279855	171	0.485380	1.857862	829	0.279855	0.315000	0.319023	
839	0.305125	161	0.552795	1.857862	839	0.305125	0.345000	0.319243	
825	0.260606	175	0.594286	1.857862	825	0.260606	0.319000	0.319241	
820	0.285366	180	0.483333	1.857862	820	0.285366	0.321000	0.319256	
861	0.289199	139	0.525180	1.857862	861	0.289199	0.322000	0.319278	
849	0.306243	151	0.476821	1.857862	849	0.306243	0.332000	0.319383	
830	0.314458	170	0.517647	1.857862	830	0.314458	0.349000	0.319623	
823	0.320778	177	0.519774	1.857862	823	0.320778	0.356000	0.319917	
835	0.289820	165	0.472727	1.857862	835	0.289820	0.320000	0.319917	
837	0.297491	163	0.533742	1.857862	837	0.297491	0.336000	0.320045	
840	0.288095	160	0.562500	1.857862	840	0.288095	0.332000	0.320139	
834	0.294964	166	0.493976	1.857862	834	0.294964	0.328000	0.320201	
844	0.245261	156	0.564103	1.857862	844	0.245261	0.295000	0.320005	
824	0.265777	176	0.585227	1.857862	824	0.265777	0.322000	0.320021	
800	0.276250	200	0.515000	1.857862	800	0.276250	0.324000	0.320051	
799	0.275344	201	0.532338	1.857862	799	0.275344	0.327000	0.320104	
818	0.305623	182	0.412088	1.857862	818	0.305623	0.325000	0.320140	
810	0.287654	190	0.415789	1.857862	810	0.287654	0.312000	0.320080	
814	0.272727	186	0.489247	1.857862	814	0.272727	0.313000	0.320027	
821	0.289890	179	0.508380	1.857862	821	0.289890	0.329000	0.320093	
819	0.302808	181	0.502762	1.857862	819	0.302808	0.339000	0.320231	
813	0.289053	187	0.524064	1.857862	813	0.289053	0.333000	0.320324	
802	0.280549	198	0.575758	1.857862	802	0.280549	0.339000	0.320458	
835	0.268263	165	0.466667	1.857862	835	0.268263	0.301000	0.320319	
826	0.301453	174	0.482759	1.857862	826	0.301453	0.333000	0.320409	
843	0.309609	157	0.484076	1.857862	843	0.309609	0.337000	0.320526	
830	0.265060	170	0.523529	1.857862	830	0.265060	0.309000	0.320445	
812	0.291872	188	0.446809	1.857862	812	0.291872	0.321000	0.320449	
832	0.308894	168	0.452381	1.857862	832	0.308894	0.333000	0.320536	
825	0.299394	175	0.497143	1.857862	825	0.299394	0.334000	0.320628	
849	0.301531	151	0.410596	1.857862	849	0.301531	0.318000	0.320610	
822	0.271290	178	0.494382	1.857862	822	0.271290	0.311000	0.320545	
817	0.336597	183	0.551913	1.857862	817	0.336597	0.376000	0.320917	
837	0.266428	163	0.496933	1.857862	837	0.266428	0.304000	0.320805	
833	0.273709	167	0.431138	1.857862	833	0.273709	0.300000	0.320667	
812	0.254926	188	0.590426	1.857862	812	0.254926	0.318000	0.320649	
795	0.289308	205	0.502439	1.857862	795	0.289308	0.333000	0.320730	
827	0.279323	173	0.364162	1.857862	827	0.279323	0.294000	0.320556	
837	0.248507	163	0.582822	1.857862	837	0.248507	0.303000	0.320443	
842	0.274347	158	0.487342	1.857862	842	0.274347	0.308000	0.320363	
832	0.313702	168	0.416667	1.857862	832	0.313702	0.331000	0.320431	
840	0.321429	160	0.425000	1.857862	840	0.321429	0.338000	0.320542	
834	0.299760	166	0.518072	1.857862	834	0.299760	0.336000	0.320639	
830	0.283133	170	0.488235	1.857862	830	0.283133	0.318000	0.320623	
827	0.275695	173	0.497110	1.857862	827	0.275695	0.314000	0.320582	
840	0.307143	160	0.481250	1.857862	840	0.307143	0.335000	0.320671	
840	0.290476	160	0.506250	1.857862	840	0.290476	0.325000	0.320697	
816	0.303922	184	0.478261	1.857862	816	0.303922	0.336000	0.320791	
820	0.292683	180	0.472222	1.857862	820	0.292683	0.325000	0.320816	
803	0.286426	197	0.395939	1.857862	803	0.286426	0.308000	0.320739	
802	0.291771	198	0.464646	1.857862	802	0.291771	0.326000	0.320771	
852	0.306338	148	0.547297	1.857862	852	0.306338	0.342000	0.320897	
