Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
840	0.202381	160	0.375000	2.213858	840	0.202381	0.230000	0.206981	
823	0.255164	177	0.502825	2.213858	823	0.255164	0.299000	0.214649	
825	0.247273	175	0.440000	2.213858	825	0.247273	0.281000	0.219752	
835	0.262275	165	0.345455	2.213858	835	0.262275	0.276000	0.223770	
842	0.266033	158	0.208861	2.213858	842	0.266033	0.257000	0.225985	
859	0.239814	141	0.347518	2.213858	859	0.239814	0.255000	0.227798	
828	0.262077	172	0.418605	2.213858	828	0.262077	0.289000	0.231398	
862	0.292343	138	0.413043	2.213858	862	0.292343	0.309000	0.235709	
842	0.251781	158	0.436709	2.213858	842	0.251781	0.281000	0.238093	
831	0.253911	169	0.402367	2.213858	831	0.253911	0.279000	0.240138	
833	0.246098	167	0.532934	2.213858	833	0.246098	0.294000	0.242703	
834	0.260192	166	0.361446	2.213858	834	0.260192	0.277000	0.244262	
845	0.240237	155	0.470968	2.213858	845	0.240237	0.276000	0.245641	
814	0.234644	186	0.424731	2.213858	814	0.234644	0.270000	0.246656	
818	0.257946	182	0.258242	2.213858	818	0.257946	0.258000	0.247110	
849	0.250883	151	0.271523	2.213858	849	0.250883	0.254000	0.247375	
818	0.271394	182	0.346154	2.213858	818	0.271394	0.285000	0.248769	
833	0.296519	167	0.508982	2.213858	833	0.296519	0.332000	0.251741	
818	0.246944	182	0.494505	2.213858	818	0.246944	0.292000	0.253129	
856	0.278037	144	0.395833	2.213858	856	0.278037	0.295000	0.254525	
814	0.270270	186	0.322581	2.213858	814	0.270270	0.280000	0.255347	
864	0.269676	136	0.470588	2.213858	864	0.269676	0.297000	0.256648	
839	0.295590	161	0.422360	2.213858	839	0.295590	0.316000	0.258447	
855	0.269006	145	0.537931	2.213858	855	0.269006	0.308000	0.259904	
874	0.262014	126	0.460317	2.213858	874	0.262014	0.287000	0.260678	
845	0.247337	155	0.464516	2.213858	845	0.247337	0.281000	0.261243	
871	0.233065	129	0.558140	2.213858	871	0.233065	0.275000	0.261615	
849	0.260306	151	0.410596	2.213858	849	0.260306	0.283000	0.262177	
832	0.290865	168	0.321429	2.213858	832	0.290865	0.296000	0.263045	
855	0.254971	145	0.482759	2.213858	855	0.254971	0.288000	0.263668	
821	0.271620	179	0.385475	2.213858	821	0.271620	0.292000	0.264359	
827	0.259976	173	0.248555	2.213858	827	0.259976	0.258000	0.264208	
832	0.268029	168	0.398810	2.213858	832	0.268029	0.290000	0.264808	
819	0.255189	181	0.447514	2.213858	819	0.255189	0.290000	0.265380	
842	0.273159	158	0.139241	2.213858	842	0.273159	0.252000	0.265083	
824	0.276699	176	0.312500	2.213858	824	0.276699	0.283000	0.265472	
831	0.268351	169	0.491124	2.213858	831	0.268351	0.306000	0.266335	
817	0.250918	183	0.437158	2.213858	817	0.250918	0.285000	0.266724	
861	0.229965	139	0.474820	2.213858	861	0.229965	0.264000	0.266668	
812	0.270936	188	0.510638	2.213858	812	0.270936	0.316000	0.267655	
873	0.237113	127	0.535433	2.213858	873	0.237113	0.275000	0.267799	
814	0.305897	186	0.327957	2.213858	814	0.305897	0.310000	0.268610	
810	0.270370	190	0.363158	2.213858	810	0.270370	0.288000	0.268976	
855	0.271345	145	0.468966	2.213858	855	0.271345	0.300000	0.269551	
810	0.249383	190	0.431579	2.213858	810	0.249383	0.284000	0.269813	
836	0.238038	164	0.432927	2.213858	836	0.238038	0.270000	0.269817	
842	0.260095	158	0.310127	2.213858	842	0.260095	0.268000	0.269785	
816	0.227941	184	0.326087	2.213858	816	0.227941	0.246000	0.269375	
839	0.297974	161	0.372671	2.213858	839	0.297974	0.310000	0.270063	
811	0.258940	189	0.317460	2.213858	811	0.258940	0.270000	0.270062	
813	0.242312	187	0.342246	2.213858	813	0.242312	0.261000	0.269914	
881	0.257662	119	0.453782	2.213858	881	0.257662	0.281000	0.270092	
827	0.255139	173	0.358382	2.213858	827	0.255139	0.273000	0.270139	
848	0.221698	152	0.453947	2.213858	848	0.221698	0.257000	0.269933	
810	0.285185	190	0.310526	2.213858	810	0.285185	0.290000	0.270242	
855	0.236257	145	0.455172	2.213858	855	0.236257	0.268000	0.270208	
827	0.244256	173	0.456647	2.213858	827	0.244256	0.281000	0.270369	
831	0.251504	169	0.461538	2.213858	831	0.251504	0.287000	0.270614	
864	0.299769	136	0.404412	2.213858	864	0.299769	0.314000	0.271242	
837	0.292712	163	0.331288	2.213858	837	0.292712	0.299000	0.271639	
845	0.247337	155	0.464516	2.213858	845	0.247337	0.281000	0.271771	
854	0.237705	146	0.383562	2.213858	854	0.237705	0.259000	0.271593	
828	0.272947	172	0.377907	2.213858	828	0.272947	0.291000	0.271859	
863	0.269988	137	0.620438	2.213858	863	0.269988	0.318000	0.272483	
834	0.252998	166	0.349398	2.213858	834	0.252998	0.269000	0.272436	
826	0.267554	174	0.385057	2.213858	826	0.267554	0.288000	0.272641	
838	0.298329	162	0.370370	2.213858	838	0.298329	0.310000	0.273126	
855	0.253801	145	0.372414	2.213858	855	0.253801	0.271000	0.273099	
852	0.278169	148	0.331081	2.213858	852	0.278169	0.286000	0.273262	
830	0.231325	170	0.447059	2.213858	830	0.231325	0.268000	0.273197	
838	0.242243	162	0.351852	2.213858	838	0.242243	0.260000	0.273034	
836	0.253589	164	0.390244	2.213858	836	0.253589	0.276000	0.273070	
