Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
816	0.270833	184	0.788043	3.906342	816	0.270833	0.366000	0.531578	
844	0.327014	156	0.884615	3.906342	844	0.327014	0.414000	0.514784	
845	0.267456	155	0.851613	3.906342	845	0.267456	0.358000	0.495188	
827	0.270859	173	0.791908	3.906342	827	0.270859	0.361000	0.480280	
848	0.317217	152	0.828947	3.906342	848	0.317217	0.395000	0.471753	
837	0.329749	163	0.895706	3.906342	837	0.329749	0.422000	0.467230	
838	0.281623	162	0.845679	3.906342	838	0.281623	0.373000	0.459378	
792	0.344697	208	0.798077	3.906342	792	0.344697	0.439000	0.457811	
817	0.310894	183	0.825137	3.906342	817	0.310894	0.405000	0.454039	
842	0.302850	158	0.835443	3.906342	842	0.302850	0.387000	0.449570	
829	0.312425	171	0.847953	3.906342	829	0.312425	0.404000	0.446722	
845	0.325444	155	0.851613	3.906342	845	0.325444	0.407000	0.444386	
833	0.328932	167	0.844311	3.906342	833	0.328932	0.415000	0.442753	
852	0.315728	148	0.709459	3.906342	852	0.315728	0.374000	0.439135	
828	0.289855	172	0.784884	3.906342	828	0.289855	0.375000	0.435928	
828	0.300725	172	0.779070	3.906342	828	0.300725	0.383000	0.433408	
808	0.290842	192	0.802083	3.906342	808	0.290842	0.389000	0.431389	
865	0.308671	135	0.807407	3.906342	865	0.308671	0.376000	0.428981	
847	0.297521	153	0.777778	3.906342	847	0.297521	0.371000	0.426566	
809	0.313968	191	0.764398	3.906342	809	0.313968	0.400000	0.425503	
820	0.251220	180	0.811111	3.906342	820	0.251220	0.352000	0.422676	
864	0.295139	136	0.823529	3.906342	864	0.295139	0.367000	0.420614	
843	0.281139	157	0.783439	3.906342	843	0.281139	0.360000	0.418449	
830	0.314458	170	0.794118	3.906342	830	0.314458	0.396000	0.417675	
847	0.289256	153	0.777778	3.906342	847	0.289256	0.364000	0.415886	
834	0.287770	166	0.831325	3.906342	834	0.287770	0.378000	0.414664	
826	0.311138	174	0.856322	3.906342	826	0.311138	0.406000	0.414393	
