Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run4.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1840406959
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run4.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
6000	-9.495606	181	15.541210	1.311478	0.525186	0.474814	0.990901	0.009099	0.067042	0.932958	
7000	-8.458681	469	14.627023	17.202939	0.397331	0.602669	0.854992	0.145008	0.112448	0.887552	
8000	-7.588492	480	3.390969	4.728255	0.099123	0.900877	0.983899	0.016101	0.000978	0.999022	
9000	-8.882083	304	14.860648	15.458906	0.458169	0.541831	--	--	0.147892	0.852108	
10000	-7.515037	405	10.249636	5.386476	0.363277	0.636723	0.984829	0.015171	0.063109	0.936891	
11000	-8.935124	380	1.508440	3.554130	0.014281	0.985719	0.980042	0.019958	0.001376	0.998624	
12000	-7.676897	444	3.957166	4.061764	0.121473	0.878527	0.975628	0.024372	0.012848	0.987152	
13000	-7.559001	314	11.205956	8.131696	0.395895	0.604105	0.982986	0.017014	0.065920	0.934080	
14000	-7.448291	199	6.753622	6.078403	0.305642	0.694358	--	--	0.016897	0.983103	
15000	-8.907362	30	5.351919	15.084802	0.295082	0.704918	--	--	0.023056	0.976944	
16000	-8.547679	162	7.776917	11.428326	0.305512	0.694488	--	--	0.039969	0.960031	
17000	-7.236373	82	7.449045	5.444383	0.295325	0.704675	0.881516	0.118484	0.019888	0.980112	
18000	-7.246243	79	10.372112	7.045530	0.337836	0.662164	0.979570	0.020430	0.026015	0.973985	
19000	-7.869835	277	7.363067	5.935821	0.290312	0.709688	0.826134	0.173866	0.037514	0.962486	
20000	-8.143797	380	12.116394	11.781484	0.358549	0.641451	0.957439	0.042561	0.077688	0.922312	
21000	-7.647432	400	4.020971	11.781536	0.064614	0.935386	0.969442	0.030558	0.006175	0.993825	
22000	-7.638910	43	3.143015	2.869778	0.150080	0.849920	0.987347	0.012653	0.006795	0.993205	
23000	-7.913111	100	5.609163	8.662467	0.203664	0.796336	--	--	0.014596	0.985404	
