Default schedule
Rate	62.50
Rev Jump	12.50
Prior Change	12.50
Tree Move	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
657	0.511416	137	0.000000	100	1.000000	106	0.764151	5.000000	657	0.511416	0.517000	0.561906	
669	0.559043	95	0.021053	107	0.990654	129	0.798450	5.000000	669	0.559043	0.585000	0.565205	
632	0.552215	97	0.000000	148	1.000000	123	0.829268	5.000000	632	0.552215	0.599000	0.569429	
626	0.589457	134	0.059701	134	0.992537	106	0.820755	5.000000	626	0.589457	0.597000	0.572492	
620	0.587097	128	0.046875	118	1.000000	134	0.888060	5.000000	620	0.587097	0.607000	0.575942	
628	0.581210	119	0.067227	127	1.000000	126	0.825397	5.000000	628	0.581210	0.604000	0.578493	
597	0.582915	143	0.027972	131	1.000000	129	0.844961	5.000000	597	0.582915	0.592000	0.579618	
636	0.608491	123	0.048780	104	0.980769	137	0.839416	5.000000	636	0.608491	0.610000	0.581955	
620	0.632258	124	0.032258	124	1.000000	132	0.856061	5.000000	620	0.632258	0.633000	0.585601	
604	0.561258	141	0.028369	119	0.991597	136	0.816176	5.000000	604	0.561258	0.572000	0.584694	
638	0.655172	148	0.027027	112	0.991071	102	0.862745	5.000000	638	0.655172	0.621000	0.586963	
624	0.621795	131	0.045802	131	0.984733	114	0.763158	5.000000	624	0.621795	0.610000	0.588318	
640	0.557813	128	0.046875	127	1.000000	105	0.771429	5.000000	640	0.557813	0.571000	0.587356	
647	0.627512	134	0.014925	114	0.991228	105	0.828571	5.000000	647	0.627512	0.608000	0.588443	
662	0.587613	110	0.000000	108	1.000000	120	0.825000	5.000000	662	0.587613	0.596000	0.588821	
619	0.592892	140	0.035714	127	1.000000	114	0.789474	5.000000	619	0.592892	0.589000	0.588829	
634	0.572555	101	0.049505	109	1.000000	156	0.794872	5.000000	634	0.572555	0.601000	0.589382	
644	0.554348	145	0.041379	107	0.990654	104	0.807692	5.000000	644	0.554348	0.553000	0.587801	
617	0.533225	134	0.044776	127	0.992126	122	0.803279	5.000000	617	0.533225	0.559000	0.586601	
601	0.557404	141	0.014184	129	0.984496	129	0.798450	5.000000	601	0.557404	0.567000	0.585817	
