Options:
Model:                           MultiState
Tree File Name:                  Bird.trees
Data File Name:                  BirdTerritory.txt
Log File Name:                   BirdTerritory_covarionOFF_run2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2760883259
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   100
Iterations:                      200500
Burn in:                         500
MCMC ML Start:                   False
Schedule File:                   BirdTerritory_covarionOFF_run2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    q01                          None
    q10                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 100.00 
        q10 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       5669
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	q01	q10	Root P(0)	Root P(1)	
600	-1937.906004	1	6.583907	21.103714	0.099106	0.900894	
700	-1937.906004	1	6.583907	21.103714	0.099106	0.900894	
800	-1937.906004	1	6.583907	21.103714	0.099106	0.900894	
900	-1937.906004	1	6.583907	21.103714	0.099106	0.900894	
1000	-1937.906004	1	6.583907	21.103714	0.099106	0.900894	
1100	-1936.071900	1	6.834827	20.066039	0.115742	0.884258	
1200	-1936.484725	1	6.601943	19.300146	0.109564	0.890436	
1300	-1936.484725	1	6.601943	19.300146	0.109564	0.890436	
1400	-1936.484725	1	6.601943	19.300146	0.109564	0.890436	
1500	-1936.484725	1	6.601943	19.300146	0.109564	0.890436	
1600	-1935.732685	1	7.675234	16.471118	0.247686	0.752314	
1700	-1935.732685	1	7.675234	16.471118	0.247686	0.752314	
1800	-1935.732685	1	7.675234	16.471118	0.247686	0.752314	
1900	-1935.732685	1	7.675234	16.471118	0.247686	0.752314	
2000	-1935.732685	1	7.675234	16.471118	0.247686	0.752314	
2100	-1935.732685	1	7.675234	16.471118	0.247686	0.752314	
2200	-1935.732685	1	7.675234	16.471118	0.247686	0.752314	
2300	-1935.352456	1	8.431183	18.367503	0.259399	0.740601	
2400	-1935.352456	1	8.431183	18.367503	0.259399	0.740601	
2500	-1935.352456	1	8.431183	18.367503	0.259399	0.740601	
2600	-1936.428288	1	7.770682	15.997960	0.285459	0.714541	
2700	-1936.428288	1	7.770682	15.997960	0.285459	0.714541	
2800	-1936.428288	1	7.770682	15.997960	0.285459	0.714541	
2900	-1936.234519	1	7.366151	16.246220	0.220458	0.779542	
3000	-1934.770000	1	8.143431	18.417885	0.228127	0.771873	
