Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
600	0.015000	9.789536	601	0.014975	0.015000	0.014975	
700	0.012857	9.789536	701	0.012839	0.012857	0.012839	
800	0.011250	9.789536	801	0.011236	0.011250	0.011236	
900	0.010000	9.789536	901	0.009989	0.010000	0.009989	
1000	0.009000	9.789536	1001	0.008991	0.009000	0.008991	
100	0.010000	5.000000	100	0.010000	0.010000	0.009083	
200	0.010000	5.000000	200	0.010000	0.010000	0.009159	
300	0.006667	5.000000	300	0.006667	0.006667	0.008455	
400	0.005000	5.000000	400	0.005000	0.005000	0.007852	
500	0.004000	5.000000	500	0.004000	0.004000	0.007328	
600	0.005000	5.000000	600	0.005000	0.005000	0.007495	
700	0.004286	5.000000	700	0.004286	0.004286	0.007055	
800	0.003750	5.000000	800	0.003750	0.003750	0.006663	
900	0.003333	5.000000	900	0.003333	0.003333	0.006312	
1000	0.003000	5.000000	1000	0.003000	0.003000	0.005997	
100	0.000000	3.531471	100	0.000000	0.000000	0.005712	
200	0.000000	3.531471	200	0.000000	0.000000	0.005452	
300	0.003333	3.531471	300	0.003333	0.003333	0.005650	
400	0.002500	3.531471	400	0.002500	0.002500	0.005414	
500	0.002000	3.531471	500	0.002000	0.002000	0.005198	
600	0.003333	3.531471	600	0.003333	0.003333	0.005383	
700	0.002857	3.531471	700	0.002857	0.002857	0.005183	
800	0.002500	3.531471	800	0.002500	0.002500	0.004998	
900	0.004444	3.531471	900	0.004444	0.004444	0.005515	
1000	0.005000	3.531471	1000	0.005000	0.005000	0.005665	
100	0.020000	2.458734	100	0.020000	0.020000	0.006127	
200	0.015000	2.458734	200	0.015000	0.015000	0.006248	
300	0.010000	2.458734	300	0.010000	0.010000	0.006059	
400	0.007500	2.458734	400	0.007500	0.007500	0.005881	
500	0.006000	2.458734	500	0.006000	0.006000	0.005713	
600	0.005000	2.458734	600	0.005000	0.005000	0.005554	
700	0.008571	2.458734	700	0.008571	0.008571	0.006215	
800	0.008750	2.458734	800	0.008750	0.008750	0.006314	
900	0.010000	2.458734	900	0.010000	0.010000	0.006665	
1000	0.010000	2.458734	1000	0.010000	0.010000	0.006748	
100	0.020000	2.362899	100	0.020000	0.020000	0.007071	
200	0.010000	2.362899	200	0.010000	0.010000	0.006903	
300	0.016667	2.362899	300	0.016667	0.016667	0.007440	
400	0.015000	2.362899	400	0.015000	0.015000	0.007498	
500	0.014000	2.362899	500	0.014000	0.014000	0.007554	
600	0.011667	2.362899	600	0.011667	0.011667	0.007390	
700	0.010000	2.362899	700	0.010000	0.010000	0.007233	
800	0.010000	2.362899	800	0.010000	0.010000	0.007290	
900	0.008889	2.362899	900	0.008889	0.008889	0.007141	
1000	0.008000	2.362899	1000	0.008000	0.008000	0.006999	
100	0.000000	1.821243	100	0.000000	0.000000	0.006861	
200	0.000000	1.821243	200	0.000000	0.000000	0.006729	
