Steppingstone sampler:
        No Stones:                  100
        Start It:                   200501
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-48.021949	-48.021949
1	0.950747	750	-47.307099	-95.329047
2	0.926679	750	-46.583757	-141.912804
3	0.902980	750	-45.872470	-187.785274
4	0.879648	750	-45.156900	-232.942173
5	0.856682	750	-44.450541	-277.392714
6	0.834079	750	-43.746180	-321.138894
7	0.811838	750	-43.051716	-364.190610
8	0.789957	750	-42.357115	-406.547725
9	0.768433	750	-41.661890	-448.209616
10	0.747266	750	-40.973263	-489.182878
11	0.726452	750	-40.291994	-529.474872
12	0.705989	750	-39.606359	-569.081231
13	0.685877	750	-38.933367	-608.014598
14	0.666112	750	-38.265537	-646.280134
15	0.646693	750	-37.590848	-683.870983
16	0.627618	750	-36.932229	-720.803212
17	0.608884	750	-36.266359	-757.069571
18	0.590490	750	-35.608670	-792.678241
19	0.572433	750	-34.962667	-827.640908
20	0.554712	750	-34.309822	-861.950730
21	0.537324	750	-33.666000	-895.616730
22	0.520268	750	-33.022837	-928.639567
23	0.503540	750	-32.392422	-961.031989
24	0.487139	750	-31.767333	-992.799322
25	0.471063	750	-31.129423	-1023.928745
26	0.455310	750	-30.510514	-1054.439258
27	0.439877	750	-29.888506	-1084.327764
28	0.424762	750	-29.272590	-1113.600354
29	0.409963	750	-28.665301	-1142.265656
30	0.395478	750	-28.051962	-1170.317618
31	0.381305	750	-27.448526	-1197.766144
32	0.367440	750	-26.851700	-1224.617845
33	0.353883	750	-26.265728	-1250.883573
34	0.340630	750	-25.683898	-1276.567471
35	0.327680	750	-25.093235	-1301.660707
36	0.315030	750	-24.502773	-1326.163480
37	0.302677	750	-23.930661	-1350.094141
38	0.290619	750	-23.360562	-1373.454702
39	0.278855	750	-22.793198	-1396.247901
40	0.267381	750	-22.243017	-1418.490917
41	0.256195	750	-21.689225	-1440.180142
42	0.245294	750	-21.135942	-1461.316084
43	0.234677	750	-20.580086	-1481.896170
44	0.224340	750	-20.037690	-1501.933860
45	0.214281	750	-19.504609	-1521.438469
46	0.204498	750	-18.978948	-1540.417418
47	0.194988	750	-18.440701	-1558.858119
48	0.185749	750	-17.921508	-1576.779626
49	0.176777	750	-17.411392	-1594.191019
50	0.168070	750	-16.890221	-1611.081240
51	0.159626	750	-16.382208	-1627.463448
52	0.151441	750	-15.887076	-1643.350524
53	0.143514	750	-15.391648	-1658.742171
54	0.135841	750	-14.898290	-1673.640461
55	0.128420	750	-14.419975	-1688.060436
56	0.121247	750	-13.941832	-1702.002268
57	0.114320	750	-13.461876	-1715.464144
58	0.107637	750	-12.990132	-1728.454276
59	0.101193	750	-12.523151	-1740.977427
60	0.094986	750	-12.059928	-1753.037355
61	0.089014	750	-11.611393	-1764.648748
62	0.083273	750	-11.174039	-1775.822787
63	0.077760	750	-10.736086	-1786.558873
64	0.072472	750	-10.300255	-1796.859128
65	0.067406	750	-9.880654	-1806.739782
66	0.062558	750	-9.458263	-1816.198045
67	0.057926	750	-9.060168	-1825.258214
68	0.053506	750	-8.629906	-1833.888120
69	0.049295	750	-8.237717	-1842.125836
70	0.045289	750	-7.848341	-1849.974178
71	0.041485	750	-7.461299	-1857.435477
72	0.037880	750	-7.081087	-1864.516564
73	0.034469	750	-6.671887	-1871.188451
74	0.031250	750	-6.324660	-1877.513111
75	0.028218	750	-5.972136	-1883.485247
76	0.025370	750	-5.630147	-1889.115394
77	0.022702	750	-5.261568	-1894.376962
78	0.020209	750	-4.946939	-1899.323901
79	0.017889	750	-4.612507	-1903.936409
80	0.015736	750	-4.295837	-1908.232245
81	0.013746	750	-3.989312	-1912.221558
82	0.011916	750	-3.698800	-1915.920358
83	0.010240	750	-3.401219	-1919.321577
84	0.008714	750	-3.109259	-1922.430836
85	0.007334	750	-2.819792	-1925.250628
86	0.006093	750	-2.574630	-1927.825258
87	0.004988	750	-2.323037	-1930.148295
88	0.004013	750	-2.084744	-1932.233039
89	0.003162	750	-1.851656	-1934.084695
90	0.002430	750	-1.639749	-1935.724444
91	0.001810	750	-1.402162	-1937.126606
92	0.001296	750	-1.212002	-1938.338608
93	0.000882	750	-0.984233	-1939.322841
94	0.000559	750	-0.812006	-1940.134847
95	0.000320	750	-0.608359	-1940.743205
96	0.000156	750	-0.426231	-1941.169437
97	0.000057	750	-0.260490	-1941.429926
98	0.000010	750	-0.121340	-1941.551267
99	0.000000	750	-0.026054	-1941.577321
Log marginal likelihood:	-1941.577321
