Options:
Model:                           MultiState
Tree File Name:                  Bird.trees
Data File Name:                  BirdTerritory.txt
Log File Name:                   BirdTerritory_covarionON_run1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3092223893
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   100
Iterations:                      200500
Burn in:                         500
MCMC ML Start:                   False
Schedule File:                   BirdTerritory_covarionON_run1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    q01                          None
    q10                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 100.00 
        q10 - uniform 0.00 100.00 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       5669
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q10	Covar On to Off	 Covar Off to On	Root P(0)	Root P(1)	
600	-1771.970649	1	22.512482	56.120419	14.267132	14.267132	0.328230	0.671770	
700	-1770.105004	1	24.582032	45.050283	12.771582	12.771582	0.520690	0.479310	
800	-1769.184395	1	24.582032	45.050283	11.045696	11.045696	0.532555	0.467445	
900	-1770.221849	1	23.977416	48.145788	9.489969	9.489969	0.510573	0.489427	
1000	-1769.503097	1	26.907701	40.691509	10.546887	10.546887	0.599518	0.400482	
1100	-1770.866829	1	21.899322	47.932265	13.463344	13.463344	0.410626	0.589374	
1200	-1769.817957	1	21.899322	47.932265	11.314245	11.314245	0.443304	0.556696	
1300	-1773.063629	1	20.480728	68.612141	12.868523	12.868523	0.206919	0.793081	
1400	-1768.841860	1	21.988677	38.780514	9.930270	9.930270	0.561168	0.438832	
1500	-1769.769051	1	21.988677	38.780514	8.180112	8.180112	0.570910	0.429090	
1600	-1769.210592	1	24.078521	35.350602	8.187286	8.187286	0.616625	0.383375	
1700	-1770.467726	1	20.370513	47.798149	11.464239	11.464239	0.394800	0.605200	
