Options:
Model:                           Discrete: Independent
Tree File Name:                  Primates.trees
Data File Name:                  Primates.txt
Log File Name:                   Primates_discrete_independent.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3674852225
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Primates_discrete_independent.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      500
     Taxa:                       60
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-43.044441	98	1.360208	1.314017	2.913524	0.701358	0.942455	0.016920	0.039909	0.000716	
12000	-41.199963	31	0.431113	2.168887	2.343137	3.869362	0.596298	0.275860	0.087407	0.040436	
13000	-41.419508	204	2.563430	4.242583	1.303355	0.985071	0.654170	0.036477	0.293014	0.016339	
14000	-40.566661	161	0.868834	1.072421	4.541366	3.268648	0.663859	0.288824	0.032972	0.014345	
15000	-41.862007	374	1.747757	7.225103	3.941680	2.275622	0.452569	0.074131	0.406685	0.066615	
16000	-42.348058	187	0.228987	6.317529	2.090201	2.210092	0.176545	0.040775	0.635828	0.146852	
17000	-41.420316	2	0.932957	1.850630	3.397846	1.854773	0.731227	0.129551	0.118269	0.020954	
18000	-42.602176	226	1.562729	9.357987	2.827856	1.413137	0.438748	0.021747	0.514027	0.025478	
19000	-43.041709	478	1.162148	5.263141	1.243444	3.648643	0.248540	0.282356	0.219612	0.249492	
20000	-44.095497	274	0.735816	4.136149	6.000482	5.939643	0.237540	0.179874	0.331535	0.251051	
21000	-42.162281	45	2.282527	4.269797	3.631963	1.208079	0.627225	0.055173	0.291923	0.025679	
22000	-39.833184	359	1.303601	3.034736	1.177317	0.877838	0.768166	0.034973	0.188289	0.008572	
23000	-42.008178	132	0.581807	0.880584	3.523831	4.600090	0.585675	0.390978	0.014001	0.009346	
24000	-41.468494	84	0.718152	1.559969	4.058821	1.835825	0.873001	0.072886	0.049944	0.004170	
25000	-41.507431	68	2.232929	0.939187	1.148519	1.746840	0.952575	0.043072	0.004164	0.000188	
26000	-40.270393	68	1.920476	0.573290	3.595856	1.612670	0.979832	0.018690	0.001450	0.000028	
27000	-41.636197	385	1.237719	0.263130	3.683755	3.179292	0.710206	0.288316	0.001051	0.000427	
28000	-42.192829	196	1.112683	4.099251	2.947585	3.693870	0.424271	0.193574	0.262424	0.119731	
29000	-42.613169	1	1.753173	1.096192	4.436168	1.678717	0.848356	0.116870	0.030563	0.004210	
30000	-43.095141	318	1.677796	0.636027	3.070704	3.561345	0.619700	0.371836	0.005289	0.003174	
