Iteration,Lh,Tree No,qDG,qGD,Root P(D),Root P(G),VarNode P(D),VarNode P(G),RecNode P(D),RecNode P(G)
58000,-8.474937,162,5.419533,3.38364,0.186314,0.813686,--,--,0.017434,0.982566
59000,-7.915152,170,3.428288,8.443251,0.101374,0.898626,--,--,0.004102,0.995898
60000,-7.496733,306,8.391061,6.484908,0.215558,0.784442,--,--,0.028605,0.971395
61000,-9.020239,283,13.061812,1.576754,0.413189,0.586811,--,--,0.083586,0.916414
62000,-9.836168,396,1.023958,1.200276,0.033619,0.966381,--,--,0.000474,0.999526
63000,-7.928998,102,3.980447,10.141188,0.114803,0.885197,0.837653,0.162347,0.00566,0.99434
63000,-7.928998,102,3.980447,10.141188,0.114803,0.885197,0.837653,0.162347,0.00566,0.99434
58000,-8.474937,162,5.419533,3.38364,0.186314,0.813686,--,--,0.017434,0.982566
59000,-7.915152,170,3.428288,8.443251,0.101374,0.898626,--,--,0.004102,0.995898
60000,-7.496733,306,8.391061,6.484908,0.215558,0.784442,--,--,0.028605,0.971395
61000,-9.020239,283,13.061812,1.576754,0.413189,0.586811,--,--,0.083586,0.916414
62000,-9.836168,396,1.023958,1.200276,0.033619,0.966381,--,--,0.000474,0.999526
63000,-7.928998,102,3.980447,10.141188,0.114803,0.885197,0.837653,0.162347,0.00566,0.99434
