Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            891445382
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
6000	-10.683401	293	46.361020	24.764603	0.499685	0.500315	0.838319	0.161681	0.231060	0.768940	
7000	-8.885635	226	16.680392	17.976529	0.479180	0.520820	0.775320	0.224680	0.189815	0.810185	
8000	-10.076203	56	18.573950	3.558679	0.436610	0.563390	0.995283	0.004717	0.148455	0.851545	
9000	-8.167212	291	6.931826	11.095212	0.265296	0.734704	--	--	0.010781	0.989219	
10000	-8.854302	40	2.762356	0.970435	0.080205	0.919795	0.951338	0.048662	0.001153	0.998847	
11000	-8.482189	291	7.460183	14.477885	0.308415	0.691585	--	--	0.013137	0.986863	
12000	-9.601953	309	14.052484	25.905033	0.456327	0.543673	--	--	0.099762	0.900238	
13000	-7.806350	255	3.450568	4.187257	0.086425	0.913575	--	--	0.006422	0.993578	
14000	-7.999238	49	8.634977	15.800255	0.278110	0.721890	--	--	0.045575	0.954425	
15000	-8.805977	276	5.552481	13.193084	0.202397	0.797603	0.606284	0.393716	0.027907	0.972093	
16000	-7.594380	351	6.181487	4.241000	0.192292	0.807708	--	--	0.013247	0.986753	
17000	-8.830331	369	0.236344	3.949744	0.000504	0.999496	--	--	0.000028	0.999972	
