Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
839	0.215733	161	0.801242	5.000000	839	0.215733	0.310000	0.439427	
861	0.278746	139	0.798561	5.000000	861	0.278746	0.351000	0.426796	
864	0.245370	136	0.794118	5.000000	864	0.245370	0.320000	0.413448	
829	0.267793	171	0.818713	5.000000	829	0.267793	0.362000	0.407732	
856	0.240654	144	0.868056	5.000000	856	0.240654	0.331000	0.400060	
853	0.260258	147	0.850340	5.000000	853	0.260258	0.347000	0.395237	
823	0.251519	177	0.740113	5.000000	823	0.251519	0.338000	0.390467	
854	0.225995	146	0.856164	5.000000	854	0.225995	0.318000	0.384893	
828	0.230676	172	0.877907	5.000000	828	0.230676	0.342000	0.381830	
836	0.241627	164	0.792683	5.000000	836	0.241627	0.332000	0.378508	
840	0.197619	160	0.781250	5.000000	840	0.197619	0.291000	0.373039	
818	0.464548	182	0.802198	2.746794	818	0.464548	0.526000	0.382036	
848	0.327830	152	0.835526	4.167088	848	0.327830	0.405000	0.383312	
840	0.322619	160	0.787500	4.167088	840	0.322619	0.397000	0.384032	
850	0.292941	150	0.786667	4.167088	850	0.292941	0.367000	0.383181	
825	0.281212	175	0.800000	4.167088	825	0.281212	0.372000	0.382648	
816	0.290441	184	0.842391	4.167088	816	0.290441	0.392000	0.383073	
855	0.319298	145	0.848276	4.167088	855	0.319298	0.396000	0.383635	
827	0.304716	173	0.774566	4.167088	827	0.304716	0.386000	0.383734	
813	0.303813	187	0.844920	4.167088	813	0.303813	0.405000	0.384585	
834	0.276978	166	0.825301	4.167088	834	0.276978	0.368000	0.383947	
848	0.266509	152	0.802632	4.167088	848	0.266509	0.348000	0.382615	
835	0.306587	165	0.812121	4.167088	835	0.306587	0.390000	0.382879	
827	0.282950	173	0.815029	4.167088	827	0.282950	0.375000	0.382607	
839	0.280095	161	0.782609	4.167088	839	0.280095	0.361000	0.381887	
824	0.242718	176	0.738636	4.167088	824	0.242718	0.330000	0.380214	
837	0.296296	163	0.760736	4.167088	837	0.296296	0.372000	0.379957	
837	0.295102	163	0.791411	4.167088	837	0.295102	0.376000	0.379837	
848	0.323113	152	0.802632	4.167088	848	0.323113	0.396000	0.380312	
855	0.257310	145	0.779310	4.167088	855	0.257310	0.333000	0.378961	
