Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
797	0.288582	203	0.793103	5.000000	797	0.288582	0.391000	0.363606	
851	0.289072	149	0.744966	5.000000	851	0.289072	0.357000	0.362662	
814	0.280098	186	0.784946	5.000000	814	0.280098	0.374000	0.364079	
807	0.307311	193	0.834197	5.000000	807	0.307311	0.409000	0.369070	
834	0.303357	166	0.801205	5.000000	834	0.303357	0.386000	0.370763	
814	0.277641	186	0.833333	5.000000	814	0.277641	0.381000	0.371693	
821	0.328867	179	0.877095	5.000000	821	0.328867	0.427000	0.376302	
836	0.313397	164	0.817073	5.000000	836	0.313397	0.396000	0.377817	
847	0.265643	153	0.816993	5.000000	847	0.265643	0.350000	0.375830	
867	0.289504	133	0.842105	5.000000	867	0.289504	0.363000	0.374975	
821	0.317905	179	0.810056	5.000000	821	0.317905	0.406000	0.376914	
843	0.322657	157	0.777070	5.000000	843	0.322657	0.394000	0.377919	
828	0.320048	172	0.837209	5.000000	828	0.320048	0.409000	0.379646	
844	0.322275	156	0.807692	5.000000	844	0.322275	0.398000	0.380612	
844	0.317536	156	0.756410	5.000000	844	0.317536	0.386000	0.380881	
831	0.326113	169	0.840237	5.000000	831	0.326113	0.413000	0.382410	
815	0.332515	185	0.827027	5.000000	815	0.332515	0.424000	0.384301	
827	0.333736	173	0.809249	5.000000	827	0.333736	0.416000	0.385679	
827	0.292624	173	0.791908	5.000000	827	0.292624	0.379000	0.385401	
835	0.277844	165	0.884848	5.000000	835	0.277844	0.378000	0.385105	
819	0.310134	181	0.729282	5.000000	819	0.310134	0.386000	0.385139	
810	0.319753	190	0.768421	5.000000	810	0.319753	0.405000	0.385875	
851	0.306698	149	0.771812	5.000000	851	0.306698	0.376000	0.385522	
820	0.320732	180	0.833333	5.000000	820	0.320732	0.413000	0.386469	
857	0.305718	143	0.804196	5.000000	857	0.305718	0.377000	0.386154	
833	0.282113	167	0.862275	5.000000	833	0.282113	0.379000	0.385923	
844	0.300948	156	0.839744	5.000000	844	0.300948	0.385000	0.385894	
853	0.342321	147	0.809524	5.000000	853	0.342321	0.411000	0.386655	
