Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_fossilised_run4.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            999630549
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_fossilised_run4.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	FNode	5	Sheep Goat Cow Buffalo Pronghorn 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - uniform 0.00 100.00 
        qGD - uniform 0.00 100.00 
Node reconstruction / fossilisation:
	Fossil Node01 FNode D 
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	Node01 P(D)	Node01 P(G)	
6000	-8.421210	483	8.871769	13.616556	0.299529	0.700471	1.000000	0.000000	
7000	-7.891501	194	4.684936	9.199561	0.131185	0.868815	1.000000	0.000000	
8000	-8.008688	112	16.693728	13.195237	0.436283	0.563717	1.000000	0.000000	
9000	-11.625919	377	45.733730	21.103453	0.497917	0.502083	1.000000	0.000000	
10000	-9.218367	251	18.568455	26.183249	0.470605	0.529395	1.000000	0.000000	
11000	-10.240203	372	51.846749	36.588701	0.496173	0.503827	1.000000	0.000000	
12000	-8.145093	114	12.343190	18.518632	0.409215	0.590785	1.000000	0.000000	
13000	-7.816986	168	5.241703	4.944883	0.244127	0.755873	1.000000	0.000000	
14000	-8.346403	83	7.568838	7.270787	0.370041	0.629959	1.000000	0.000000	
15000	-8.138372	430	12.287861	11.573083	0.460595	0.539405	1.000000	0.000000	
16000	-11.161505	497	55.657829	90.208015	0.499999	0.500001	1.000000	0.000000	
17000	-8.668274	80	13.293805	9.692688	0.375257	0.624743	1.000000	0.000000	
18000	-11.483191	415	75.783441	55.572027	0.499997	0.500003	1.000000	0.000000	
19000	-8.323157	255	7.574406	13.621598	0.292833	0.707167	1.000000	0.000000	
