Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_reduction_run1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2519532377
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   Artiodactyl_reduction_run1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    qDG                          RJ MCMC
    qGD                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qDG	qGD	Root P(D)	Root P(G)	RJRates - Mean	
6000	-7.459145	2	1	0	'0 0 	5.304363	5.304363	0.222284	0.777716	41.130654	
7000	-7.837827	151	1	0	'0 0 	5.756473	5.756473	0.184271	0.815729	54.464801	
8000	-8.500742	411	1	0	'0 0 	11.216207	11.216207	0.416219	0.583781	50.481302	
9000	-10.067119	28	1	0	'0 0 	53.789811	53.789811	0.499790	0.500210	77.502982	
10000	-7.872474	67	1	0	'0 0 	9.896826	9.896826	0.348600	0.651400	78.727834	
11000	-9.030141	412	1	0	'0 0 	19.797525	19.797525	0.467141	0.532859	95.367608	
12000	-7.738023	264	1	0	'0 0 	5.787140	5.787140	0.227191	0.772809	91.446635	
13000	-7.886859	426	1	0	'0 0 	5.300705	5.300705	0.172596	0.827404	96.647596	
14000	-9.363354	67	1	0	'0 0 	29.619925	29.619925	0.494568	0.505432	78.306005	
15000	-8.163359	481	1	0	'0 0 	9.979941	9.979941	0.441565	0.558435	91.491773	
16000	-8.562191	435	1	0	'0 0 	15.424100	15.424100	0.460347	0.539653	89.562394	
17000	-7.748826	352	1	0	'0 0 	6.576764	6.576764	0.299905	0.700095	95.675454	
18000	-7.608770	475	1	0	'0 0 	7.336327	7.336327	0.237904	0.762096	93.590201	
19000	-7.692233	493	1	0	'0 0 	10.564285	10.564285	0.387917	0.612083	97.845111	
20000	-8.345362	316	1	0	'0 0 	13.527595	13.527595	0.393761	0.606239	89.057440	
21000	-10.133808	288	1	1	'0 Z 	8.776658	0.000000	1.000000	0.000000	64.808125	
22000	-7.957268	308	1	0	'0 0 	4.447530	4.447530	0.129990	0.870010	52.164956	
23000	-9.752353	355	1	0	'0 0 	44.003091	44.003091	0.498878	0.501122	54.117548	
24000	-8.018161	420	1	0	'0 0 	12.194936	12.194936	0.353458	0.646542	57.296979	
25000	-7.809811	328	1	0	'0 0 	5.606760	5.606760	0.194352	0.805648	75.690470	
26000	-7.597004	373	1	0	'0 0 	9.006772	9.006772	0.344173	0.655827	78.106105	
27000	-7.484752	306	1	0	'0 0 	6.881250	6.881250	0.171250	0.828750	96.311516	
28000	-7.529621	229	1	0	'0 0 	9.053270	9.053270	0.324774	0.675226	95.824579	
29000	-7.960855	372	1	0	'0 0 	10.015727	10.015727	0.269261	0.730739	72.698707	
30000	-9.158639	395	1	0	'0 0 	23.023366	23.023366	0.477378	0.522622	75.503998	
31000	-10.389837	364	1	0	'0 0 	76.688362	76.688362	0.499951	0.500049	56.467591	
32000	-8.164604	376	1	0	'0 0 	9.662848	9.662848	0.304911	0.695089	47.449112	
33000	-8.296696	346	1	0	'0 0 	17.964009	17.964009	0.465588	0.534412	61.024444	
34000	-10.061880	319	1	0	'0 0 	59.979109	59.979109	0.499990	0.500010	57.386619	
35000	-7.482283	145	1	0	'0 0 	8.176480	8.176480	0.299534	0.700466	40.933566	
36000	-8.058015	66	1	0	'0 0 	14.479127	14.479127	0.410619	0.589381	45.332835	
37000	-8.342650	184	1	0	'0 0 	10.793832	10.793832	0.425899	0.574101	59.281208	
38000	-7.603388	359	1	0	'0 0 	6.684054	6.684054	0.323726	0.676274	59.774089	
39000	-7.441173	314	1	0	'0 0 	6.690391	6.690391	0.273624	0.726376	76.156112	
40000	-8.195067	456	1	0	'0 0 	4.639004	4.639004	0.147965	0.852035	64.425332	
41000	-8.300010	295	1	0	'0 0 	15.755715	15.755715	0.404304	0.595696	69.499776	
42000	-7.945145	330	1	0	'0 0 	4.738326	4.738326	0.185181	0.814819	68.963873	
43000	-9.791106	52	1	0	'0 0 	0.917863	0.917863	0.009209	0.990791	56.302776	
44000	-8.119928	469	1	0	'0 0 	2.790997	2.790997	0.041201	0.958799	52.467642	
45000	-7.937990	270	1	0	'0 0 	13.644773	13.644773	0.435035	0.564965	60.828595	
46000	-8.267631	243	1	0	'0 0 	15.258673	15.258673	0.478474	0.521526	59.625062	
47000	-7.679726	474	1	0	'0 0 	6.060534	6.060534	0.230971	0.769029	44.420558	
48000	-7.859707	223	1	0	'0 0 	10.068899	10.068899	0.325652	0.674348	37.676041	
49000	-7.295074	49	1	0	'0 0 	7.816923	7.816923	0.205816	0.794184	32.298726	
50000	-8.686681	231	1	0	'0 0 	13.538847	13.538847	0.472210	0.527790	20.020663	
51000	-7.418993	93	1	0	'0 0 	8.084144	8.084144	0.275797	0.724203	19.696524	
52000	-7.858518	217	1	0	'0 0 	7.287311	7.287311	0.255507	0.744493	4.862622	
53000	-7.921290	12	1	0	'0 0 	1.715580	1.715580	0.030348	0.969652	5.498091	
54000	-7.941412	370	1	0	'0 0 	7.859832	7.859832	0.316636	0.683364	15.644577	
55000	-8.280061	481	1	0	'0 0 	11.120479	11.120479	0.457010	0.542990	33.222398	
