Default schedule
Rate	62.50
Rev Jump	12.50
Prior Change	12.50
Tree Move	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
613	0.557912	116	0.034483	132	1.000000	139	0.834532	5.000000	613	0.557912	0.594000	0.598234	
632	0.572785	128	0.015625	139	0.992806	101	0.831683	5.000000	632	0.572785	0.586000	0.596486	
596	0.659396	149	0.040268	124	0.991935	131	0.793893	5.000000	596	0.659396	0.626000	0.600175	
620	0.570968	139	0.014388	119	1.000000	122	0.819672	5.000000	620	0.570968	0.575000	0.597378	
617	0.586710	145	0.041379	118	1.000000	120	0.850000	5.000000	617	0.586710	0.588000	0.596440	
595	0.566387	130	0.061538	139	0.992806	136	0.786765	5.000000	595	0.566387	0.590000	0.595855	
622	0.602894	126	0.047619	127	1.000000	125	0.840000	5.000000	622	0.602894	0.613000	0.597284	
659	0.491654	105	0.057143	114	0.991228	122	0.680328	5.000000	659	0.491654	0.526000	0.591801	
641	0.439938	145	0.082759	99	0.959596	115	0.895652	5.000000	641	0.439938	0.492000	0.584673	
618	0.511327	130	0.030769	140	1.000000	112	0.839286	5.000000	618	0.511327	0.554000	0.582628	
619	0.474960	120	0.066667	137	0.978102	124	0.790323	5.000000	619	0.474960	0.534000	0.579589	
634	0.474763	134	0.044776	96	0.989583	136	0.794118	5.000000	634	0.474763	0.510000	0.575496	
592	0.548986	108	0.000000	161	1.000000	139	0.906475	5.000000	592	0.548986	0.612000	0.577523	
626	0.392971	141	0.014184	119	1.000000	114	0.815789	5.000000	626	0.392971	0.460000	0.571338	
637	0.469388	123	0.048780	127	0.960630	113	0.725664	5.000000	637	0.469388	0.509000	0.568222	
631	0.435816	125	0.064000	110	0.990909	134	0.873134	5.000000	631	0.435816	0.509000	0.565402	
617	0.562399	140	0.000000	134	0.992537	109	0.853211	5.000000	617	0.562399	0.573000	0.565747	
625	0.568000	118	0.016949	123	1.000000	134	0.865672	5.000000	625	0.568000	0.596000	0.567062	
631	0.484945	133	0.045113	122	1.000000	114	0.877193	5.000000	631	0.484945	0.534000	0.565685	
629	0.448331	126	0.079365	132	1.000000	113	0.778761	5.000000	629	0.448331	0.512000	0.563537	
670	0.474627	110	0.018182	115	0.982609	105	0.866667	5.000000	670	0.474627	0.524000	0.562017	
658	0.565350	131	0.061069	107	1.000000	104	0.807692	5.000000	658	0.565350	0.571000	0.562350	
622	0.557878	128	0.046875	136	0.977941	114	0.824561	5.000000	622	0.557878	0.580000	0.562980	
603	0.535655	137	0.058394	129	0.992248	131	0.809160	5.000000	603	0.535655	0.565000	0.563050	
621	0.574879	121	0.033058	127	0.992126	131	0.801527	5.000000	621	0.574879	0.592000	0.564015	
648	0.510802	120	0.050000	120	0.991667	112	0.750000	5.000000	648	0.510802	0.540000	0.563240	
602	0.483389	119	0.067227	133	0.984962	146	0.767123	5.000000	602	0.483389	0.542000	0.562576	
627	0.529506	130	0.092308	105	1.000000	138	0.818841	5.000000	627	0.529506	0.562000	0.562559	
640	0.537500	121	0.082645	101	1.000000	138	0.833333	5.000000	640	0.537500	0.570000	0.562778	
627	0.468900	109	0.055046	132	0.984848	132	0.750000	5.000000	627	0.468900	0.529000	0.561813	
621	0.510467	125	0.000000	121	0.983471	133	0.819549	5.000000	621	0.510467	0.545000	0.561346	
596	0.456376	142	0.042254	118	0.974576	144	0.791667	5.000000	596	0.456376	0.507000	0.559877	
628	0.522293	123	0.000000	134	0.992537	115	0.765217	5.000000	628	0.522293	0.549000	0.559591	
