Default schedule
Rate	71.43
CV	28.57
Rate Tried	% Accepted	CV Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
380	0.010526	220	0.068182	8.371881	601	0.033278	0.031667	0.033278	
445	0.013483	255	0.062745	8.371881	701	0.032810	0.031429	0.032810	
502	0.011952	298	0.063758	8.371881	801	0.032459	0.031250	0.032459	
563	0.012433	337	0.065282	8.371881	901	0.033296	0.032222	0.033296	
628	0.012739	372	0.064516	8.371881	1001	0.032967	0.032000	0.032967	
63	0.015873	37	0.054054	5.000000	100	0.030000	0.030000	0.032698	
131	0.007634	69	0.072464	5.000000	200	0.030000	0.030000	0.032473	
191	0.010471	109	0.091743	5.000000	300	0.040000	0.040000	0.034589	
254	0.015748	146	0.075342	5.000000	400	0.037500	0.037500	0.034261	
315	0.012698	185	0.075676	5.000000	500	0.036000	0.036000	0.033977	
376	0.013298	224	0.084821	5.000000	600	0.040000	0.040000	0.035603	
436	0.013761	264	0.083333	5.000000	700	0.040000	0.040000	0.035861	
502	0.015936	298	0.090604	5.000000	800	0.043750	0.043750	0.037757	
564	0.015957	336	0.089286	5.000000	900	0.043333	0.043333	0.037875	
632	0.018987	368	0.086957	5.000000	1000	0.044000	0.044000	0.038481	
67	0.059701	33	0.212121	2.903281	100	0.110000	0.110000	0.041885	
140	0.064286	60	0.200000	2.903281	200	0.105000	0.105000	0.044525	
205	0.058537	95	0.168421	2.903281	300	0.093333	0.093333	0.045632	
280	0.046429	120	0.158333	2.903281	400	0.080000	0.080000	0.045398	
352	0.051136	148	0.141892	2.903281	500	0.078000	0.078000	0.046381	
425	0.049412	175	0.137143	2.903281	600	0.075000	0.075000	0.046905	
490	0.057143	210	0.142857	2.903281	700	0.082857	0.082857	0.049981	
557	0.057451	243	0.135802	2.903281	800	0.081250	0.081250	0.050696	
629	0.055644	271	0.136531	2.903281	900	0.080000	0.080000	0.051362	
694	0.051873	306	0.133987	2.903281	1000	0.077000	0.077000	0.051316	
73	0.054795	27	0.185185	1.531203	100	0.090000	0.090000	0.052564	
149	0.100671	51	0.137255	1.531203	200	0.110000	0.110000	0.054983	
219	0.095890	81	0.160494	1.531203	300	0.113333	0.113333	0.056952	
293	0.081911	107	0.186916	1.531203	400	0.110000	0.110000	0.058218	
368	0.067935	132	0.166667	1.531203	500	0.094000	0.094000	0.057412	
441	0.070295	159	0.176101	1.531203	600	0.098333	0.098333	0.059150	
515	0.073786	185	0.183784	1.531203	700	0.102857	0.102857	0.061065	
586	0.071672	214	0.191589	1.531203	800	0.103750	0.103750	0.062352	
656	0.071646	244	0.213115	1.531203	900	0.110000	0.110000	0.064855	
723	0.070539	277	0.209386	1.531203	1000	0.109000	0.109000	0.065734	
68	0.102941	32	0.281250	1.357304	100	0.160000	0.160000	0.068032	
141	0.127660	59	0.271186	1.357304	200	0.170000	0.170000	0.070697	
207	0.115942	93	0.236559	1.357304	300	0.153333	0.153333	0.071844	
282	0.106383	118	0.237288	1.357304	400	0.145000	0.145000	0.072938	
360	0.105556	140	0.257143	1.357304	500	0.148000	0.148000	0.074872	
423	0.113475	177	0.259887	1.357304	600	0.156667	0.156667	0.077592	
494	0.105263	206	0.276699	1.357304	700	0.155714	0.155714	0.079132	
556	0.102518	244	0.295082	1.357304	800	0.161250	0.161250	0.081650	
624	0.097756	276	0.322464	1.357304	900	0.166667	0.166667	0.084269	
698	0.091691	302	0.314570	1.357304	1000	0.159000	0.159000	0.084383	
78	0.153846	22	0.363636	0.814570	100	0.200000	0.200000	0.086650	
147	0.170068	53	0.433962	0.814570	200	0.240000	0.240000	0.090367	
223	0.197309	77	0.454545	0.814570	300	0.263333	0.263333	0.094510	
281	0.217082	119	0.462185	0.814570	400	0.290000	0.290000	0.099611	
357	0.204482	143	0.447552	0.814570	500	0.274000	0.274000	0.101618	
425	0.218824	175	0.462857	0.814570	600	0.290000	0.290000	0.106410	
495	0.232323	205	0.458537	0.814570	700	0.298571	0.298571	0.110682	
571	0.239930	229	0.441048	0.814570	800	0.297500	0.297500	0.113773	
639	0.245696	261	0.436782	0.814570	900	0.301111	0.301111	0.117438	
710	0.245070	290	0.441379	0.814570	1000	0.302000	0.302000	0.120647	
70	0.285714	30	0.500000	0.814570	100	0.350000	0.350000	0.124406	
136	0.308824	64	0.390625	0.814570	200	0.335000	0.335000	0.127560	
205	0.346341	95	0.400000	0.814570	300	0.363333	0.363333	0.132201	
272	0.312500	128	0.343750	0.814570	400	0.322500	0.322500	0.133260	
342	0.286550	158	0.341772	0.814570	500	0.304000	0.304000	0.134749	
407	0.275184	193	0.398964	0.814570	600	0.315000	0.315000	0.138312	
475	0.298947	225	0.417778	0.814570	700	0.337143	0.337143	0.143262	
550	0.314545	250	0.412000	0.814570	800	0.345000	0.345000	0.147037	
621	0.312399	279	0.415771	0.814570	900	0.344444	0.344444	0.149833	
687	0.307132	313	0.421725	0.814570	1000	0.343000	0.343000	0.152407	
73	0.356164	27	0.296296	0.814570	100	0.340000	0.340000	0.155049	
147	0.285714	53	0.415094	0.814570	200	0.320000	0.320000	0.157062	
213	0.281690	87	0.436782	0.814570	300	0.326667	0.326667	0.159567	
281	0.306050	119	0.453782	0.814570	400	0.350000	0.350000	0.163086	
351	0.310541	149	0.489933	0.814570	500	0.364000	0.364000	0.166511	
417	0.309353	183	0.491803	0.814570	600	0.365000	0.365000	0.169188	
493	0.320487	207	0.492754	0.814570	700	0.371429	0.371429	0.172315	
562	0.304270	238	0.508403	0.814570	800	0.365000	0.365000	0.174208	
625	0.302400	275	0.494545	0.814570	900	0.361111	0.361111	0.176180	
700	0.292857	300	0.503333	0.814570	1000	0.356000	0.356000	0.177853	
67	0.223881	33	0.272727	0.814570	100	0.240000	0.240000	0.178620	
131	0.305344	69	0.405797	0.814570	200	0.340000	0.340000	0.181807	
206	0.276699	94	0.372340	0.814570	300	0.306667	0.306667	0.182508	
276	0.257246	124	0.403226	0.814570	400	0.302500	0.302500	0.183788	
354	0.274011	146	0.390411	0.814570	500	0.308000	0.308000	0.185508	
427	0.276347	173	0.421965	0.814570	600	0.318333	0.318333	0.187653	
497	0.273642	203	0.443350	0.814570	700	0.322857	0.322857	0.189518	
560	0.262500	240	0.416667	0.814570	800	0.308750	0.308750	0.189751	
631	0.258320	269	0.423792	0.814570	900	0.307778	0.307778	0.190990	
699	0.266094	301	0.438538	0.814570	1000	0.318000	0.318000	0.193423	
81	0.308642	19	0.578947	0.814570	100	0.360000	0.360000	0.195253	
159	0.320755	41	0.512195	0.814570	200	0.360000	0.360000	0.197044	
218	0.371560	82	0.560976	0.814570	300	0.423333	0.423333	0.200839	
289	0.346021	111	0.504505	0.814570	400	0.390000	0.390000	0.201787	
363	0.344353	137	0.525547	0.814570	500	0.394000	0.394000	0.203979	
433	0.337182	167	0.497006	0.814570	600	0.381667	0.381667	0.205187	
505	0.338614	195	0.471795	0.814570	700	0.375714	0.375714	0.206577	
572	0.330420	228	0.464912	0.814570	800	0.368750	0.368750	0.207734	
642	0.325545	258	0.468992	0.814570	900	0.366667	0.366667	0.209171	
707	0.325318	293	0.467577	0.814570	1000	0.367000	0.367000	0.210779	
70	0.185714	30	0.366667	0.814570	100	0.240000	0.240000	0.211068	
145	0.275862	55	0.290909	0.814570	200	0.280000	0.280000	0.212136	
219	0.264840	81	0.358025	0.814570	300	0.290000	0.290000	0.213086	
281	0.256228	119	0.394958	0.814570	400	0.297500	0.297500	0.214114	
349	0.266476	151	0.403974	0.814570	500	0.308000	0.308000	0.215408	
425	0.258824	175	0.422857	0.814570	600	0.306667	0.306667	0.216206	
490	0.257143	210	0.447619	0.814570	700	0.314286	0.314286	0.217550	
562	0.265125	238	0.462185	0.814570	800	0.323750	0.323750	0.219146	
633	0.279621	267	0.453184	0.814570	900	0.331111	0.331111	0.220714	
704	0.279830	296	0.445946	0.814570	1000	0.329000	0.329000	0.221525	
63	0.333333	37	0.459459	0.814570	100	0.380000	0.380000	0.222953	
133	0.300752	67	0.432836	0.814570	200	0.345000	0.345000	0.223730	
208	0.259615	92	0.434783	0.814570	300	0.313333	0.313333	0.223962	
280	0.260714	120	0.458333	0.814570	400	0.320000	0.320000	0.224980	
347	0.265130	153	0.470588	0.814570	500	0.328000	0.328000	0.226154	
417	0.268585	183	0.448087	0.814570	600	0.323333	0.323333	0.226791	
495	0.254545	205	0.448780	0.814570	700	0.311429	0.311429	0.226904	
563	0.275311	237	0.434599	0.814570	800	0.322500	0.322500	0.228370	
643	0.283048	257	0.424125	0.814570	900	0.323333	0.323333	0.229224	
714	0.280112	286	0.423077	0.814570	1000	0.321000	0.321000	0.229814	
