Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
830	0.298795	170	0.482353	1.690157	830	0.298795	0.330000	0.276702	
850	0.354118	150	0.486667	1.690157	850	0.354118	0.374000	0.284810	
810	0.353086	190	0.473684	1.690157	810	0.353086	0.376000	0.291824	
798	0.334586	202	0.470297	1.690157	798	0.334586	0.362000	0.296836	
819	0.296703	181	0.613260	1.690157	819	0.296703	0.354000	0.300647	
859	0.316647	141	0.617021	1.690157	859	0.316647	0.359000	0.304293	
848	0.337264	152	0.453947	1.690157	848	0.337264	0.355000	0.307276	
842	0.324228	158	0.563291	1.690157	842	0.324228	0.362000	0.310316	
835	0.367665	165	0.472727	1.690157	835	0.367665	0.385000	0.314247	
832	0.338942	168	0.398810	1.690157	832	0.338942	0.349000	0.315984	
807	0.356877	193	0.481865	1.690157	807	0.356877	0.381000	0.319080	
819	0.328449	181	0.441989	1.690157	819	0.328449	0.349000	0.320440	
811	0.319359	189	0.481481	1.690157	811	0.319359	0.350000	0.321725	
813	0.338253	187	0.358289	1.690157	813	0.338253	0.342000	0.322570	
822	0.324818	178	0.438202	1.690157	822	0.324818	0.345000	0.323467	
822	0.324818	178	0.443820	1.690157	822	0.324818	0.346000	0.324334	
836	0.305024	164	0.585366	1.690157	836	0.305024	0.351000	0.325321	
818	0.325183	182	0.406593	1.690157	818	0.325183	0.340000	0.325846	
826	0.255448	174	0.511494	1.690157	826	0.255448	0.300000	0.324954	
825	0.334545	175	0.502857	1.690157	825	0.334545	0.364000	0.326256	
826	0.348668	174	0.482759	1.690157	826	0.348668	0.372000	0.327731	
798	0.328321	202	0.381188	1.690157	798	0.328321	0.339000	0.328083	
841	0.319857	159	0.503145	1.690157	841	0.319857	0.349000	0.328717	
828	0.370773	172	0.453488	1.690157	828	0.370773	0.385000	0.330373	
799	0.296621	201	0.497512	1.690157	799	0.296621	0.337000	0.330562	
828	0.314010	172	0.412791	1.690157	828	0.314010	0.331000	0.330574	
835	0.317365	165	0.539394	1.690157	835	0.317365	0.354000	0.331207	
835	0.301796	165	0.606061	1.690157	835	0.301796	0.352000	0.331754	
837	0.336918	163	0.447853	1.690157	837	0.336918	0.355000	0.332350	
813	0.328413	187	0.417112	1.690157	813	0.328413	0.345000	0.332667	
827	0.347037	173	0.526012	1.690157	827	0.347037	0.378000	0.333772	
829	0.382388	171	0.385965	1.690157	829	0.382388	0.383000	0.334944	
832	0.348558	168	0.386905	1.690157	832	0.348558	0.355000	0.335411	
822	0.358881	178	0.449438	1.690157	822	0.358881	0.375000	0.336311	
831	0.333333	169	0.532544	1.690157	831	0.333333	0.367000	0.336993	
855	0.327485	145	0.524138	1.690157	855	0.327485	0.356000	0.337406	
826	0.325666	174	0.465517	1.690157	826	0.325666	0.350000	0.337674	
851	0.289072	149	0.590604	1.690157	851	0.289072	0.334000	0.337597	
821	0.311815	179	0.553073	1.690157	821	0.311815	0.355000	0.337952	
842	0.338480	158	0.506329	1.690157	842	0.338480	0.365000	0.338493	
