Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.901086	-0.901086
1	0.950747	750	-0.906474	-1.807560
2	0.926679	750	-0.879714	-2.687273
3	0.902980	750	-0.856553	-3.543826
4	0.879648	750	-0.893956	-4.437782
5	0.856682	750	-0.833700	-5.271483
6	0.834079	750	-0.834998	-6.106481
7	0.811838	750	-0.827212	-6.933692
8	0.789957	750	-0.809599	-7.743291
9	0.768433	750	-0.811061	-8.554351
10	0.747266	750	-0.796298	-9.350650
11	0.726452	750	-0.765898	-10.116547
12	0.705989	750	-0.790087	-10.906634
13	0.685877	750	-0.772010	-11.678644
14	0.666112	750	-0.751066	-12.429710
15	0.646693	750	-0.756240	-13.185950
16	0.627618	750	-0.731905	-13.917855
17	0.608884	750	-0.719118	-14.636974
18	0.590490	750	-0.695980	-15.332953
19	0.572433	750	-0.687597	-16.020550
20	0.554712	750	-0.667458	-16.688009
21	0.537324	750	-0.690306	-17.378314
22	0.520268	750	-0.679883	-18.058197
23	0.503540	750	-0.667857	-18.726053
24	0.487139	750	-0.648586	-19.374640
25	0.471063	750	-0.621840	-19.996479
26	0.455310	750	-0.634845	-20.631324
27	0.439877	750	-0.630539	-21.261863
28	0.424762	750	-0.594013	-21.855876
29	0.409963	750	-0.584883	-22.440759
30	0.395478	750	-0.587689	-23.028449
31	0.381305	750	-0.567740	-23.596189
32	0.367440	750	-0.561922	-24.158111
33	0.353883	750	-0.579924	-24.738035
34	0.340630	750	-0.546478	-25.284513
35	0.327680	750	-0.568381	-25.852894
36	0.315030	750	-0.510134	-26.363027
37	0.302677	750	-0.519084	-26.882111
38	0.290619	750	-0.512598	-27.394709
39	0.278855	750	-0.491519	-27.886228
40	0.267381	750	-0.491923	-28.378151
41	0.256195	750	-0.469530	-28.847681
42	0.245294	750	-0.477880	-29.325561
43	0.234677	750	-0.454614	-29.780175
44	0.224340	750	-0.450854	-30.231029
45	0.214281	750	-0.438812	-30.669841
46	0.204498	750	-0.421160	-31.091001
47	0.194988	750	-0.406704	-31.497704
48	0.185749	750	-0.425999	-31.923703
49	0.176777	750	-0.391402	-32.315105
50	0.168070	750	-0.392274	-32.707379
51	0.159626	750	-0.382613	-33.089991
52	0.151441	750	-0.385092	-33.475083
53	0.143514	750	-0.389300	-33.864383
54	0.135841	750	-0.367903	-34.232286
55	0.128420	750	-0.352676	-34.584962
56	0.121247	750	-0.365261	-34.950222
57	0.114320	750	-0.341025	-35.291248
58	0.107637	750	-0.318166	-35.609414
59	0.101193	750	-0.323184	-35.932598
60	0.094986	750	-0.308515	-36.241113
61	0.089014	750	-0.288168	-36.529281
62	0.083273	750	-0.286913	-36.816195
63	0.077760	750	-0.280225	-37.096420
64	0.072472	750	-0.276500	-37.372920
65	0.067406	750	-0.265410	-37.638330
66	0.062558	750	-0.258532	-37.896862
67	0.057926	750	-0.239726	-38.136588
68	0.053506	750	-0.246991	-38.383579
69	0.049295	750	-0.226556	-38.610135
70	0.045289	750	-0.214420	-38.824555
71	0.041485	750	-0.229276	-39.053831
72	0.037880	750	-0.204815	-39.258645
73	0.034469	750	-0.185445	-39.444090
74	0.031250	750	-0.180548	-39.624639
75	0.028218	750	-0.181995	-39.806633
76	0.025370	750	-0.165197	-39.971831
77	0.022702	750	-0.152032	-40.123863
78	0.020209	750	-0.143238	-40.267101
79	0.017889	750	-0.150448	-40.417549
80	0.015736	750	-0.135505	-40.553055
81	0.013746	750	-0.127003	-40.680058
82	0.011916	750	-0.106757	-40.786815
83	0.010240	750	-0.100399	-40.887213
84	0.008714	750	-0.087691	-40.974905
85	0.007334	750	-0.087725	-41.062630
86	0.006093	750	-0.073336	-41.135966
87	0.004988	750	-0.071904	-41.207870
88	0.004013	750	-0.058703	-41.266573
89	0.003162	750	-0.056060	-41.322633
90	0.002430	750	-0.042548	-41.365181
91	0.001810	750	-0.036861	-41.402042
92	0.001296	750	-0.036079	-41.438121
93	0.000882	750	-0.025952	-41.464073
94	0.000559	750	-0.020466	-41.484540
95	0.000320	750	-0.015920	-41.500460
96	0.000156	750	-0.010777	-41.511237
97	0.000057	750	-0.006477	-41.517714
98	0.000010	750	-0.002612	-41.520326
99	0.000000	750	-0.000646	-41.520972
Log marginal likelihood:	-41.520972
