Options:
Model:                           Discrete: Independent
Tree File Name:                  Primates.trees
Data File Name:                  Primates.txt
Log File Name:                   Primates_discrete_independent.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            777135391
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Primates_discrete_independent.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      500
     Taxa:                       60
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-43.272893	49	1.908760	1.720613	6.100400	3.355446	0.598026	0.285021	0.079204	0.037749	
12000	-42.745023	140	0.916408	1.200335	2.585421	0.711960	0.926355	0.018161	0.054417	0.001067	
13000	-39.783606	312	0.601809	3.298971	3.053014	3.085451	0.578987	0.174123	0.189807	0.057082	
14000	-41.443722	456	1.425850	2.086478	3.578187	1.768232	0.668488	0.151647	0.146607	0.033258	
15000	-42.326995	196	1.205002	0.656385	2.119690	1.382570	0.919468	0.070560	0.009261	0.000711	
16000	-43.637346	500	0.841690	2.241072	0.645713	2.523353	0.365606	0.452139	0.081484	0.100770	
17000	-39.922861	198	0.970499	3.363223	2.643411	2.889687	0.518060	0.141109	0.267869	0.072962	
18000	-39.376321	97	0.814254	2.426784	2.301895	1.723082	0.753330	0.091049	0.138840	0.016781	
19000	-39.474837	458	1.213511	2.829788	1.749705	0.675855	0.855419	0.007556	0.135826	0.001200	
20000	-41.206078	481	0.299716	5.059735	3.032799	3.130331	0.196271	0.048208	0.606543	0.148978	
21000	-44.595444	301	2.495206	2.031185	6.293530	2.631218	0.789527	0.142669	0.057427	0.010377	
22000	-41.334983	267	1.640673	1.648270	3.193032	2.487616	0.750311	0.180577	0.055705	0.013406	
23000	-44.864531	22	1.256715	0.439908	7.975880	3.866672	0.665241	0.331728	0.002022	0.001008	
24000	-41.177220	183	1.108636	4.531918	4.581123	4.661968	0.367703	0.217196	0.260957	0.154143	
25000	-42.469185	309	2.557811	4.036978	2.351739	2.793601	0.515124	0.204162	0.201037	0.079678	
26000	-43.315451	273	0.619999	2.747658	4.396692	3.405854	0.582745	0.188717	0.172632	0.055906	
27000	-42.502645	75	1.996526	6.116038	3.585972	0.916598	0.547389	0.008765	0.436851	0.006995	
28000	-43.585937	191	0.581132	6.181889	0.628912	3.471951	0.047123	0.213530	0.133665	0.605682	
29000	-38.812927	43	0.900105	3.353009	4.271344	1.545801	0.685531	0.051647	0.244408	0.018414	
30000	-43.605496	447	2.740834	2.556656	3.978265	4.576597	0.480057	0.323733	0.117185	0.079025	
31000	-42.018383	75	0.780653	4.999741	1.805160	2.405282	0.346043	0.093089	0.441973	0.118895	
32000	-41.090861	30	0.842147	4.346444	3.407981	3.193109	0.344149	0.168524	0.327134	0.160192	
33000	-43.446816	24	1.235067	4.122542	4.948344	3.159175	0.414125	0.173483	0.290639	0.121753	
34000	-47.922622	428	4.836144	3.620208	3.901595	4.195616	0.344962	0.281992	0.205257	0.167789	
35000	-39.318045	68	0.981680	3.482199	2.492749	1.963490	0.838971	0.028035	0.128693	0.004300	
36000	-44.371531	187	3.825963	3.536793	3.582612	0.585374	0.734480	0.011549	0.250039	0.003932	
37000	-41.491336	189	0.514952	2.285954	2.436501	1.059557	0.697789	0.031673	0.258791	0.011747	
38000	-43.023245	164	0.553829	4.968613	1.858642	1.880940	0.217191	0.077899	0.518825	0.186085	
39000	-41.536660	352	0.726354	0.436579	5.326393	2.934233	0.833681	0.164269	0.001713	0.000338	
40000	-48.958846	91	0.510474	1.696870	9.864569	10.544515	0.426991	0.399423	0.089688	0.083898	
41000	-44.020437	472	1.532197	4.430802	6.318652	3.855147	0.403696	0.187598	0.279036	0.129669	
