Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
811	0.345253	189	0.449735	1.822587	811	0.345253	0.365000	0.297791	
822	0.367397	178	0.382022	1.822587	822	0.367397	0.370000	0.303808	
831	0.365824	169	0.378698	1.822587	831	0.365824	0.368000	0.308745	
832	0.344952	168	0.398810	1.822587	832	0.344952	0.354000	0.311978	
827	0.342201	173	0.346821	1.822587	827	0.342201	0.343000	0.314046	
838	0.353222	162	0.432099	1.822587	838	0.353222	0.366000	0.317293	
825	0.361212	175	0.417143	1.822587	825	0.361212	0.371000	0.320452	
821	0.375152	179	0.491620	1.822587	821	0.375152	0.396000	0.324649	
835	0.336527	165	0.327273	1.822587	835	0.336527	0.335000	0.325193	
823	0.318348	177	0.519774	1.822587	823	0.318348	0.354000	0.326634	
839	0.313468	161	0.447205	1.822587	839	0.313468	0.335000	0.327032	
847	0.302243	153	0.450980	1.822587	847	0.302243	0.325000	0.326940	
836	0.344498	164	0.536585	1.822587	836	0.344498	0.376000	0.329073	
844	0.349526	156	0.256410	1.822587	844	0.349526	0.335000	0.329320	
860	0.351163	140	0.407143	1.822587	860	0.351163	0.359000	0.330507	
838	0.371122	162	0.438272	1.822587	838	0.371122	0.382000	0.332487	
825	0.363636	175	0.428571	1.822587	825	0.363636	0.375000	0.334062	
820	0.341463	180	0.400000	1.822587	820	0.341463	0.352000	0.334702	
836	0.362440	164	0.445122	1.822587	836	0.362440	0.376000	0.336126	
838	0.359189	162	0.339506	1.822587	838	0.359189	0.356000	0.336789	
854	0.343091	146	0.513699	1.822587	854	0.343091	0.368000	0.337796	
841	0.332937	159	0.452830	1.822587	841	0.332937	0.352000	0.338239	
843	0.333333	157	0.273885	1.822587	843	0.333333	0.324000	0.337808	
830	0.296386	170	0.558824	1.822587	830	0.296386	0.341000	0.337902	
829	0.337756	171	0.409357	1.822587	829	0.337756	0.350000	0.338247	
858	0.377622	142	0.521127	1.822587	858	0.377622	0.398000	0.339907	
849	0.362780	151	0.410596	1.822587	849	0.362780	0.370000	0.340721	
863	0.337196	137	0.416058	1.822587	863	0.337196	0.348000	0.340912	
836	0.321770	164	0.518293	1.822587	836	0.321770	0.354000	0.341248	
839	0.336114	161	0.509317	1.822587	839	0.336114	0.364000	0.341816	
828	0.355072	172	0.430233	1.822587	828	0.355072	0.368000	0.342455	
820	0.321951	180	0.411111	1.822587	820	0.321951	0.338000	0.342349	
848	0.353774	152	0.375000	1.822587	848	0.353774	0.357000	0.342690	
847	0.338843	153	0.326797	1.822587	847	0.338843	0.337000	0.342560	
815	0.344785	185	0.540541	1.822587	815	0.344785	0.381000	0.343415	
832	0.318510	168	0.398810	1.822587	832	0.318510	0.332000	0.343166	
850	0.344706	150	0.493333	1.822587	850	0.344706	0.367000	0.343674	
815	0.376687	185	0.535135	1.822587	815	0.376687	0.406000	0.344972	
835	0.349701	165	0.533333	1.822587	835	0.349701	0.380000	0.345687	
855	0.318129	145	0.413793	1.822587	855	0.318129	0.332000	0.345413	
859	0.318976	141	0.489362	1.822587	859	0.318976	0.343000	0.345366	
810	0.393827	190	0.484211	1.822587	810	0.393827	0.411000	0.346628	
835	0.360479	165	0.387879	1.822587	835	0.360479	0.365000	0.346975	
837	0.340502	163	0.380368	1.822587	837	0.340502	0.347000	0.346975	
825	0.303030	175	0.365714	1.822587	825	0.303030	0.314000	0.346376	
835	0.337725	165	0.484848	1.822587	835	0.337725	0.362000	0.346655	
834	0.332134	166	0.403614	1.822587	834	0.332134	0.344000	0.346608	
812	0.373153	188	0.446809	1.822587	812	0.373153	0.387000	0.347304	
800	0.317500	200	0.380000	1.822587	800	0.317500	0.330000	0.347011	
802	0.336658	198	0.398990	1.822587	802	0.336658	0.349000	0.347044	
822	0.347932	178	0.252809	1.822587	822	0.347932	0.331000	0.346781	
816	0.370098	184	0.603261	1.822587	816	0.370098	0.413000	0.347849	
823	0.357230	177	0.429379	1.822587	823	0.357230	0.370000	0.348201	
839	0.353993	161	0.503106	1.822587	839	0.353993	0.378000	0.348666	
843	0.360617	157	0.388535	1.822587	843	0.360617	0.365000	0.348918	
863	0.341831	137	0.313869	1.822587	863	0.341831	0.338000	0.348752	
859	0.371362	141	0.581560	1.822587	859	0.371362	0.401000	0.349532	
843	0.347568	157	0.528662	1.822587	843	0.347568	0.376000	0.349921	
812	0.390394	188	0.313830	1.822587	812	0.390394	0.376000	0.350299	
835	0.341317	165	0.490909	1.822587	835	0.341317	0.366000	0.350524	
829	0.353438	171	0.456140	1.822587	829	0.353438	0.371000	0.350812	
847	0.344746	153	0.470588	1.822587	847	0.344746	0.364000	0.350995	
830	0.350602	170	0.470588	1.822587	830	0.350602	0.371000	0.351269	
830	0.340964	170	0.482353	1.822587	830	0.340964	0.365000	0.351455	
808	0.350248	192	0.401042	1.822587	808	0.350248	0.360000	0.351569	
824	0.325243	176	0.431818	1.822587	824	0.325243	0.344000	0.351469	
837	0.344086	163	0.355828	1.822587	837	0.344086	0.346000	0.351398	
834	0.345324	166	0.409639	1.822587	834	0.345324	0.356000	0.351457	
828	0.333333	172	0.377907	1.822587	828	0.333333	0.341000	0.351325	
817	0.350061	183	0.453552	1.822587	817	0.350061	0.369000	0.351546	
836	0.345694	164	0.457317	1.822587	836	0.345694	0.364000	0.351699	
862	0.357309	138	0.442029	1.822587	862	0.357309	0.369000	0.351910	
837	0.351254	163	0.368098	1.822587	837	0.351254	0.354000	0.351936	
852	0.334507	148	0.304054	1.822587	852	0.334507	0.330000	0.351674	
831	0.333333	169	0.337278	1.822587	831	0.333333	0.334000	0.351466	
838	0.392601	162	0.450617	1.822587	838	0.392601	0.402000	0.352054	
853	0.364596	147	0.326531	1.822587	853	0.364596	0.359000	0.352134	
807	0.320942	193	0.362694	1.822587	807	0.320942	0.329000	0.351871	
842	0.330166	158	0.462025	1.822587	842	0.330166	0.351000	0.351861	
821	0.354446	179	0.446927	1.822587	821	0.354446	0.371000	0.352074	
835	0.386826	165	0.278788	1.822587	835	0.386826	0.369000	0.352260	
823	0.336574	177	0.395480	1.822587	823	0.336574	0.347000	0.352203	
822	0.333333	178	0.432584	1.822587	822	0.333333	0.351000	0.352190	
829	0.357057	171	0.391813	1.822587	829	0.357057	0.363000	0.352305	
841	0.374554	159	0.301887	1.822587	841	0.374554	0.363000	0.352417	
834	0.358513	166	0.373494	1.822587	834	0.358513	0.361000	0.352507	
812	0.305419	188	0.500000	1.822587	812	0.305419	0.342000	0.352398	
823	0.385176	177	0.372881	1.822587	823	0.385176	0.383000	0.352711	
815	0.355828	185	0.497297	1.822587	815	0.355828	0.382000	0.353007	
806	0.356079	194	0.293814	1.822587	806	0.356079	0.344000	0.352916	
815	0.323926	185	0.437838	1.822587	815	0.323926	0.345000	0.352838	
846	0.342790	154	0.493506	1.822587	846	0.342790	0.366000	0.352967	
844	0.363744	156	0.525641	1.822587	844	0.363744	0.389000	0.353317	
823	0.348724	177	0.327684	1.822587	823	0.348724	0.345000	0.353237	
822	0.347932	178	0.544944	1.822587	822	0.347932	0.383000	0.353520	
857	0.345391	143	0.475524	1.822587	857	0.345391	0.364000	0.353619	
846	0.326241	154	0.448052	1.822587	846	0.326241	0.345000	0.353539	
850	0.392941	150	0.400000	1.822587	850	0.392941	0.394000	0.353913	
835	0.334132	165	0.387879	1.822587	835	0.334132	0.343000	0.353813	
839	0.332539	161	0.453416	1.822587	839	0.332539	0.352000	0.353797	
847	0.395514	153	0.254902	1.822587	847	0.395514	0.374000	0.353979	
856	0.382009	144	0.458333	1.822587	856	0.382009	0.393000	0.354327	
849	0.349823	151	0.324503	1.822587	849	0.349823	0.346000	0.354254	
831	0.327316	169	0.319527	1.822587	831	0.327316	0.326000	0.354006	
819	0.344322	181	0.314917	1.822587	819	0.344322	0.339000	0.353875	
823	0.363305	177	0.423729	1.822587	823	0.363305	0.374000	0.354049	
819	0.355311	181	0.386740	1.822587	819	0.355311	0.361000	0.354108	
811	0.345253	189	0.412698	1.822587	811	0.345253	0.358000	0.354141	
821	0.365408	179	0.441341	1.822587	821	0.365408	0.379000	0.354350	
826	0.370460	174	0.235632	1.822587	826	0.370460	0.347000	0.354289	
829	0.318456	171	0.286550	1.822587	829	0.318456	0.313000	0.353947	
834	0.386091	166	0.415663	1.822587	834	0.386091	0.391000	0.354251	
825	0.357576	175	0.297143	1.822587	825	0.357576	0.347000	0.354192	
824	0.365291	176	0.443182	1.822587	824	0.365291	0.379000	0.354392	
845	0.362130	155	0.393548	1.822587	845	0.362130	0.367000	0.354493	
834	0.357314	166	0.349398	1.822587	834	0.357314	0.356000	0.354505	
817	0.362301	183	0.426230	1.822587	817	0.362301	0.374000	0.354659	
839	0.349225	161	0.242236	1.822587	839	0.349225	0.332000	0.354482	
836	0.342105	164	0.371951	1.822587	836	0.342105	0.347000	0.354424	
826	0.348668	174	0.528736	1.822587	826	0.348668	0.380000	0.354620	
836	0.339713	164	0.457317	1.822587	836	0.339713	0.359000	0.354654	
835	0.350898	165	0.321212	1.822587	835	0.350898	0.346000	0.354588	
838	0.350835	162	0.358025	1.822587	838	0.350835	0.352000	0.354569	
827	0.373640	173	0.369942	1.822587	827	0.373640	0.373000	0.354706	
842	0.337292	158	0.493671	1.822587	842	0.337292	0.362000	0.354760	
839	0.331347	161	0.416149	1.822587	839	0.331347	0.345000	0.354689	
819	0.344322	181	0.337017	1.822587	819	0.344322	0.343000	0.354603	
838	0.367542	162	0.475309	1.822587	838	0.367542	0.385000	0.354824	
853	0.322392	147	0.360544	1.822587	853	0.322392	0.328000	0.354631	
833	0.345738	167	0.377246	1.822587	833	0.345738	0.351000	0.354605	
834	0.345324	166	0.530120	1.822587	834	0.345324	0.376000	0.354756	
