Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.048867	-1.048867
1	0.950747	750	-1.033014	-2.081881
2	0.926679	750	-1.031642	-3.113523
3	0.902980	750	-1.019457	-4.132981
4	0.879648	750	-0.996855	-5.129836
5	0.856682	750	-0.973137	-6.102973
6	0.834079	750	-0.963741	-7.066714
7	0.811838	750	-0.952805	-8.019519
8	0.789957	750	-0.937804	-8.957322
9	0.768433	750	-0.921627	-9.878949
10	0.747266	750	-0.911322	-10.790271
11	0.726452	750	-0.890617	-11.680889
12	0.705989	750	-0.881810	-12.562698
13	0.685877	750	-0.867012	-13.429710
14	0.666112	750	-0.855017	-14.284727
15	0.646693	750	-0.862332	-15.147060
16	0.627618	750	-0.834680	-15.981740
17	0.608884	750	-0.823607	-16.805347
18	0.590490	750	-0.802845	-17.608193
19	0.572433	750	-0.796707	-18.404899
20	0.554712	750	-0.785904	-19.190804
21	0.537324	750	-0.779662	-19.970466
22	0.520268	750	-0.733938	-20.704404
23	0.503540	750	-0.745679	-21.450083
24	0.487139	750	-0.726848	-22.176931
25	0.471063	750	-0.732715	-22.909646
26	0.455310	750	-0.698723	-23.608369
27	0.439877	750	-0.696896	-24.305265
28	0.424762	750	-0.679649	-24.984914
29	0.409963	750	-0.664552	-25.649466
30	0.395478	750	-0.650787	-26.300253
31	0.381305	750	-0.646914	-26.947168
32	0.367440	750	-0.631695	-27.578862
33	0.353883	750	-0.622678	-28.201540
34	0.340630	750	-0.608658	-28.810198
35	0.327680	750	-0.595339	-29.405537
36	0.315030	750	-0.598838	-30.004375
37	0.302677	750	-0.584098	-30.588474
38	0.290619	750	-0.572651	-31.161125
39	0.278855	750	-0.548558	-31.709683
40	0.267381	750	-0.547506	-32.257189
41	0.256195	750	-0.526872	-32.784061
42	0.245294	750	-0.532559	-33.316620
43	0.234677	750	-0.508048	-33.824668
44	0.224340	750	-0.502846	-34.327514
45	0.214281	750	-0.493598	-34.821112
46	0.204498	750	-0.487585	-35.308697
47	0.194988	750	-0.471456	-35.780153
48	0.185749	750	-0.462627	-36.242780
49	0.176777	750	-0.440869	-36.683649
50	0.168070	750	-0.429243	-37.112892
51	0.159626	750	-0.418604	-37.531496
52	0.151441	750	-0.423399	-37.954895
53	0.143514	750	-0.405786	-38.360681
54	0.135841	750	-0.395848	-38.756529
55	0.128420	750	-0.390965	-39.147493
56	0.121247	750	-0.354405	-39.501899
57	0.114320	750	-0.366839	-39.868738
58	0.107637	750	-0.352433	-40.221171
59	0.101193	750	-0.346274	-40.567445
60	0.094986	750	-0.331279	-40.898724
61	0.089014	750	-0.321338	-41.220062
62	0.083273	750	-0.320551	-41.540613
63	0.077760	750	-0.301974	-41.842587
64	0.072472	750	-0.289244	-42.131831
65	0.067406	750	-0.274940	-42.406771
66	0.062558	750	-0.276457	-42.683227
67	0.057926	750	-0.258074	-42.941301
68	0.053506	750	-0.248976	-43.190277
69	0.049295	750	-0.237117	-43.427394
70	0.045289	750	-0.231381	-43.658775
71	0.041485	750	-0.221706	-43.880481
72	0.037880	750	-0.211019	-44.091499
73	0.034469	750	-0.201645	-44.293144
74	0.031250	750	-0.194070	-44.487214
75	0.028218	750	-0.185266	-44.672480
76	0.025370	750	-0.174789	-44.847269
77	0.022702	750	-0.165105	-45.012374
78	0.020209	750	-0.153125	-45.165499
79	0.017889	750	-0.143323	-45.308822
80	0.015736	750	-0.131458	-45.440280
81	0.013746	750	-0.125921	-45.566201
82	0.011916	750	-0.117550	-45.683752
83	0.010240	750	-0.107175	-45.790927
84	0.008714	750	-0.094553	-45.885480
85	0.007334	750	-0.086112	-45.971592
86	0.006093	750	-0.081821	-46.053413
87	0.004988	750	-0.071678	-46.125091
88	0.004013	750	-0.064835	-46.189927
89	0.003162	750	-0.054211	-46.244137
90	0.002430	750	-0.047424	-46.291561
91	0.001810	750	-0.040799	-46.332360
92	0.001296	750	-0.033639	-46.365999
93	0.000882	750	-0.027645	-46.393644
94	0.000559	750	-0.020782	-46.414425
95	0.000320	750	-0.015993	-46.430419
96	0.000156	750	-0.010852	-46.441271
97	0.000057	750	-0.006381	-46.447652
98	0.000010	750	-0.002948	-46.450599
99	0.000000	750	-0.000644	-46.451243
Log marginal likelihood:	-46.451243
