Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qDG	qGD	Root P(D)	Root P(G)	RJRates - Mean	
6000	-9.934925	356	1	0	'0 0 	35.363210	35.363210	0.499899	0.500101	57.657834	
7000	-7.418799	93	1	0	'0 0 	8.081671	8.081671	0.275708	0.724292	80.488194	
8000	-9.932523	240	1	0	'0 0 	46.905485	46.905485	0.499618	0.500382	99.483491	
9000	-7.459573	189	1	0	'0 0 	2.972745	2.972745	0.110321	0.889679	66.525594	
10000	-8.260030	177	1	0	'0 0 	2.648477	2.648477	0.077028	0.922972	67.284615	
11000	-7.823215	469	1	0	'0 0 	10.208895	10.208895	0.290638	0.709362	69.321486	
12000	-8.257229	96	1	0	'0 0 	18.111243	18.111243	0.453439	0.546561	45.057076	
13000	-8.012834	461	1	0	'0 0 	7.227343	7.227343	0.275437	0.724563	19.608568	
14000	-7.551882	89	1	0	'0 0 	4.124861	4.124861	0.149842	0.850158	13.450988	
15000	-8.005018	121	1	0	'0 0 	14.226160	14.226160	0.450925	0.549075	29.800108	
16000	-6.909109	400	1	0	'0 0 	5.125143	5.125143	0.082365	0.917635	12.233468	
17000	-7.753695	203	1	0	'0 0 	10.566622	10.566622	0.362092	0.637908	33.125925	
18000	-7.947371	212	1	0	'0 0 	8.805332	8.805332	0.248733	0.751267	30.480540	
19000	-7.967641	157	1	0	'0 0 	3.704775	3.704775	0.179758	0.820242	9.138581	
20000	-7.691000	207	1	0	'0 0 	13.876540	13.876540	0.397814	0.602186	30.579146	
21000	-8.738924	226	1	0	'0 0 	15.306321	15.306321	0.468834	0.531166	33.696520	
22000	-7.236719	320	1	0	'0 0 	5.229378	5.229378	0.158605	0.841395	35.466101	
23000	-7.647952	118	1	0	'0 0 	4.001339	4.001339	0.143674	0.856326	40.446934	
24000	-7.575522	18	1	0	'0 0 	11.041357	11.041357	0.286046	0.713954	32.554204	
25000	-7.656019	290	1	0	'0 0 	7.019862	7.019862	0.254045	0.745955	14.233289	
26000	-8.160692	318	1	0	'0 0 	9.975052	9.975052	0.278767	0.721233	36.055318	
27000	-7.670915	250	1	0	'0 0 	6.093779	6.093779	0.233157	0.766843	37.186315	
28000	-8.382651	76	1	0	'0 0 	17.203706	17.203706	0.443476	0.556524	36.284274	
29000	-8.268996	300	1	0	'0 0 	1.980030	1.980030	0.053150	0.946850	39.148316	
30000	-9.154581	59	1	0	'0 0 	27.215761	27.215761	0.492417	0.507583	45.743890	
31000	-7.526969	242	1	0	'0 0 	4.429924	4.429924	0.111888	0.888112	21.553606	
32000	-9.604272	88	1	0	'0 0 	24.164128	24.164128	0.486955	0.513045	31.404014	
33000	-8.322318	308	1	0	'0 0 	10.460668	10.460668	0.353217	0.646783	31.515118	
34000	-8.015312	361	1	0	'0 0 	4.484934	4.484934	0.167514	0.832486	29.394433	
35000	-7.327047	407	1	0	'0 0 	4.365475	4.365475	0.203803	0.796197	21.217928	
36000	-9.540984	104	1	0	'0 0 	40.304694	40.304694	0.497554	0.502446	24.343395	
37000	-7.802964	328	1	0	'0 0 	5.405358	5.405358	0.184573	0.815427	23.909167	
38000	-8.078091	137	1	0	'0 0 	3.535332	3.535332	0.105675	0.894325	26.270339	
39000	-7.782896	55	1	0	'0 0 	8.461361	8.461361	0.276987	0.723013	33.719988	
40000	-9.163559	98	1	0	'0 0 	26.071765	26.071765	0.494117	0.505883	38.351959	
41000	-7.733855	134	1	0	'0 0 	3.749924	3.749924	0.121340	0.878660	50.149764	
42000	-8.137532	356	1	0	'0 0 	4.861960	4.861960	0.258378	0.741622	40.216505	
43000	-10.283327	274	1	0	'0 0 	89.706895	89.706895	0.499996	0.500004	40.752207	
44000	-8.009146	38	1	0	'0 0 	4.764837	4.764837	0.200977	0.799023	21.805188	
45000	-7.876515	339	1	0	'0 0 	7.913430	7.913430	0.392595	0.607405	21.173285	
46000	-8.314568	323	1	0	'0 0 	7.536298	7.536298	0.234117	0.765883	5.876988	
47000	-7.908849	364	1	0	'0 0 	7.129346	7.129346	0.211599	0.788401	9.575830	
48000	-7.710523	252	1	0	'0 0 	8.339389	8.339389	0.347873	0.652127	20.122045	
49000	-13.947600	394	1	1	'Z 0 	0.000000	12.549074	0.000000	1.000000	10.223205	
50000	-9.305761	156	1	0	'0 0 	1.123969	1.123969	0.010771	0.989229	0.627274	
51000	-8.103840	446	1	0	'0 0 	14.892885	14.892885	0.416576	0.583424	3.286263	
52000	-8.105633	319	1	0	'0 0 	15.826527	15.826527	0.467425	0.532575	16.612929	
53000	-7.596711	388	1	0	'0 0 	5.406669	5.406669	0.226865	0.773135	26.530127	
54000	-7.592491	262	1	0	'0 0 	5.973009	5.973009	0.246712	0.753288	34.825928	
55000	-7.575608	225	1	0	'0 0 	3.595386	3.595386	0.149408	0.850592	41.327477	
56000	-7.309971	224	1	0	'0 0 	7.806384	7.806384	0.218411	0.781589	44.898929	
57000	-7.856619	346	1	0	'0 0 	4.596317	4.596317	0.145178	0.854822	35.192305	
58000	-7.684319	41	1	0	'0 0 	9.636961	9.636961	0.342384	0.657616	5.584478	
59000	-10.225974	328	1	0	'0 0 	0.775704	0.775704	0.004911	0.995089	4.281154	
60000	-7.847470	428	1	0	'0 0 	1.902448	1.902448	0.021607	0.978393	4.472566	
61000	-7.382989	296	1	0	'0 0 	7.986632	7.986632	0.307964	0.692036	6.369279	
62000	-7.801296	208	1	0	'0 0 	8.141869	8.141869	0.366174	0.633826	8.584775	
63000	-9.111897	242	1	0	'0 0 	1.303558	1.303558	0.011946	0.988054	13.879287	
64000	-7.787431	181	1	0	'0 0 	3.240152	3.240152	0.059955	0.940045	3.888769	
65000	-9.688951	25	1	1	'0 Z 	4.441619	0.000000	1.000000	0.000000	7.426652	
66000	-7.493511	369	1	0	'0 0 	4.628065	4.628065	0.143623	0.856377	19.613344	
67000	-7.581821	132	1	0	'0 0 	5.243418	5.243418	0.155031	0.844969	18.875040	
68000	-8.634246	492	1	0	'0 0 	2.007828	2.007828	0.060064	0.939936	5.776014	
69000	-7.790427	359	1	0	'0 0 	4.093326	4.093326	0.234909	0.765091	3.252597	
70000	-7.992437	393	1	0	'0 0 	3.113584	3.113584	0.079627	0.920373	3.572450	
71000	-10.408088	290	1	1	'0 Z 	7.139080	0.000000	1.000000	0.000000	2.185720	
72000	-8.183338	284	1	0	'0 0 	3.350452	3.350452	0.101984	0.898016	2.997621	
73000	-8.177411	184	1	0	'0 0 	3.046996	3.046996	0.110576	0.889424	1.332870	
74000	-9.151149	219	1	0	'0 0 	1.613446	1.613446	0.051155	0.948845	3.459159	
75000	-8.237551	92	1	0	'0 0 	2.524955	2.524955	0.023390	0.976610	5.800516	
76000	-7.170164	18	1	0	'0 0 	6.283801	6.283801	0.140567	0.859433	2.074913	
77000	-9.336402	147	1	0	'0 0 	31.293440	31.293440	0.495127	0.504873	8.104146	
78000	-7.839241	417	1	0	'0 0 	5.786483	5.786483	0.145586	0.854414	6.052850	
79000	-8.612914	257	1	0	'0 0 	21.550542	21.550542	0.481758	0.518242	15.450132	
80000	-8.335373	142	1	0	'0 0 	12.639004	12.639004	0.460487	0.539513	16.518715	
81000	-7.638476	72	1	0	'0 0 	4.004957	4.004957	0.160493	0.839507	19.048446	
82000	-7.843125	33	1	0	'0 0 	6.236523	6.236523	0.261954	0.738046	7.993020	
83000	-8.674433	215	1	0	'0 0 	2.312661	2.312661	0.064867	0.935133	4.814653	
84000	-8.325001	279	1	0	'0 0 	4.040470	4.040470	0.156263	0.843737	2.907022	
85000	-7.804344	483	1	0	'0 0 	7.268830	7.268830	0.210663	0.789337	2.425757	
86000	-7.268518	49	1	0	'0 0 	6.735819	6.735819	0.167264	0.832736	7.889572	
87000	-9.246578	322	1	0	'0 0 	1.153832	1.153832	0.013932	0.986068	12.534348	
88000	-7.601684	93	1	0	'0 0 	10.058977	10.058977	0.338599	0.661401	16.167950	
89000	-9.434843	326	1	0	'0 0 	30.605235	30.605235	0.490176	0.509824	14.584133	
90000	-7.537544	348	1	0	'0 0 	3.590264	3.590264	0.073242	0.926758	15.004428	
91000	-12.319242	182	1	1	'0 Z 	14.219545	0.000000	1.000000	0.000000	16.138827	
92000	-8.092884	9	1	0	'0 0 	12.447020	12.447020	0.410592	0.589408	11.218523	
93000	-7.572094	458	1	0	'0 0 	9.560239	9.560239	0.328673	0.671327	11.887823	
94000	-8.156341	133	1	0	'0 0 	10.189506	10.189506	0.329380	0.670620	4.119761	
95000	-8.980550	433	1	0	'0 0 	19.179190	19.179190	0.492122	0.507878	7.613396	
96000	-8.164715	292	1	0	'0 0 	8.001547	8.001547	0.261477	0.738523	17.598535	
97000	-8.610613	237	1	0	'0 0 	15.069699	15.069699	0.398059	0.601941	18.577594	
98000	-7.818305	312	1	0	'0 0 	6.156946	6.156946	0.187930	0.812070	20.934729	
99000	-7.810145	135	1	0	'0 0 	12.584422	12.584422	0.430934	0.569066	27.959964	
100000	-8.764958	414	1	0	'0 0 	2.703089	2.703089	0.068431	0.931569	56.216204	
101000	-7.723487	314	1	0	'0 0 	11.167859	11.167859	0.409446	0.590554	52.060293	
102000	-9.946741	174	1	0	'0 0 	59.772119	59.772119	0.499885	0.500115	66.995329	
103000	-8.072780	285	1	0	'0 0 	12.595919	12.595919	0.443133	0.556867	80.556492	
104000	-8.438823	179	1	0	'0 0 	8.958694	8.958694	0.319892	0.680108	84.871110	
105000	-7.948732	395	1	0	'0 0 	8.323109	8.323109	0.277992	0.722008	56.264968	
106000	-8.186264	79	1	0	'0 0 	19.585640	19.585640	0.458538	0.541462	44.376186	
107000	-9.054393	337	1	0	'0 0 	24.541324	24.541324	0.491187	0.508813	49.682716	
108000	-7.730835	290	1	0	'0 0 	7.808438	7.808438	0.284873	0.715127	48.118602	
109000	-7.132442	40	1	0	'0 0 	7.439504	7.439504	0.270522	0.729478	37.536487	
110000	-9.130833	469	1	0	'0 0 	23.957938	23.957938	0.470327	0.529673	17.235373	
111000	-8.357993	373	1	0	'0 0 	16.864203	16.864203	0.467363	0.532637	24.177200	
112000	-8.119227	314	1	0	'0 0 	15.372318	15.372318	0.462581	0.537419	28.974153	
113000	-7.932761	364	1	0	'0 0 	7.808902	7.808902	0.234483	0.765517	17.514539	
