Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1107730964
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
6000	-9.445079	23	6.733988	17.335415	0.429883	0.570117	--	--	0.015095	0.984905	
7000	-9.452318	470	0.998983	2.236566	0.006884	0.993116	--	--	0.000937	0.999063	
8000	-8.003885	430	9.953887	10.793445	0.437240	0.562760	0.877720	0.122280	0.038874	0.961126	
9000	-7.839737	444	10.917727	6.905827	0.367889	0.632111	0.964009	0.035991	0.082406	0.917594	
10000	-8.773945	80	9.164924	16.310177	0.329401	0.670599	0.778415	0.221585	0.094255	0.905745	
11000	-8.022858	196	5.038422	2.710450	0.181630	0.818370	--	--	0.006621	0.993379	
12000	-9.499042	35	14.224407	3.007627	0.448127	0.551873	0.951934	0.048066	0.078062	0.921938	
13000	-8.656772	441	9.709080	5.122178	0.379408	0.620592	0.992586	0.007414	0.031018	0.968982	
14000	-8.428310	198	7.878489	14.884407	0.385351	0.614649	0.906657	0.093343	0.033968	0.966032	
15000	-7.530825	389	5.750441	5.385301	0.116194	0.883806	0.986988	0.013012	0.006217	0.993783	
16000	-7.973794	335	5.578354	8.721382	0.243980	0.756020	0.950547	0.049453	0.018063	0.981937	
17000	-8.775890	460	0.682668	4.222518	0.003941	0.996059	--	--	0.000156	0.999844	
