Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
832	0.337740	168	0.809524	3.904285	832	0.337740	0.417000	0.436094	
838	0.305489	162	0.851852	3.904285	838	0.305489	0.394000	0.430081	
857	0.334889	143	0.853147	3.904285	857	0.334889	0.409000	0.427447	
851	0.291422	149	0.879195	3.904285	851	0.291422	0.379000	0.422064	
827	0.325272	173	0.826590	3.904285	827	0.325272	0.412000	0.421058	
815	0.316564	185	0.881081	3.904285	815	0.316564	0.421000	0.421053	
838	0.324582	162	0.814815	3.904285	838	0.324582	0.404000	0.419632	
829	0.342581	171	0.801170	3.904285	829	0.342581	0.421000	0.419737	
846	0.308511	154	0.818182	3.904285	846	0.308511	0.387000	0.417399	
830	0.297590	170	0.782353	3.904285	830	0.297590	0.380000	0.414906	
812	0.306650	188	0.776596	3.904285	812	0.306650	0.395000	0.413662	
820	0.317073	180	0.783333	3.904285	820	0.317073	0.401000	0.412917	
827	0.302297	173	0.867052	3.904285	827	0.302297	0.400000	0.412199	
823	0.292831	177	0.824859	3.904285	823	0.292831	0.387000	0.410873	
813	0.332103	187	0.791444	3.904285	813	0.332103	0.418000	0.411229	
803	0.327522	197	0.771574	3.904285	803	0.327522	0.415000	0.411409	
824	0.308252	176	0.823864	3.904285	824	0.308252	0.399000	0.410845	
823	0.314702	177	0.813559	3.904285	823	0.314702	0.403000	0.410504	
823	0.335358	177	0.734463	3.904285	823	0.335358	0.406000	0.410316	
834	0.352518	166	0.807229	3.904285	834	0.352518	0.428000	0.411024	
829	0.360676	171	0.830409	3.904285	829	0.360676	0.441000	0.412176	
827	0.308343	173	0.768786	3.904285	827	0.308343	0.388000	0.411281	
826	0.307506	174	0.810345	3.904285	826	0.307506	0.395000	0.410700	
836	0.344498	164	0.835366	3.904285	836	0.344498	0.425000	0.411193	
830	0.271084	170	0.811765	3.904285	830	0.271084	0.363000	0.409586	
829	0.340169	171	0.871345	3.904285	829	0.340169	0.431000	0.410277	
844	0.290284	156	0.788462	3.904285	844	0.290284	0.368000	0.408956	
837	0.281959	163	0.791411	3.904285	837	0.281959	0.365000	0.407624	
850	0.331765	150	0.826667	3.904285	850	0.331765	0.406000	0.407576	
850	0.331765	150	0.840000	3.904285	850	0.331765	0.408000	0.407588	
849	0.338045	151	0.821192	3.904285	849	0.338045	0.411000	0.407683	
837	0.321386	163	0.815951	3.904285	837	0.321386	0.402000	0.407530	
834	0.339329	166	0.759036	3.904285	834	0.339329	0.409000	0.407568	
837	0.327360	163	0.852761	3.904285	837	0.327360	0.413000	0.407707	
831	0.324910	169	0.763314	3.904285	831	0.324910	0.399000	0.407490	
851	0.324324	149	0.778523	3.904285	851	0.324324	0.392000	0.407112	
829	0.355850	171	0.777778	3.904285	829	0.355850	0.428000	0.407609	
841	0.305589	159	0.798742	3.904285	841	0.305589	0.384000	0.407060	
847	0.310508	153	0.764706	3.904285	847	0.310508	0.380000	0.406445	
851	0.331375	149	0.845638	3.904285	851	0.331375	0.408000	0.406480	
842	0.327791	158	0.803797	3.904285	842	0.327791	0.403000	0.406404	
821	0.295981	179	0.837989	3.904285	821	0.295981	0.393000	0.406119	
812	0.283251	188	0.856383	3.904285	812	0.283251	0.391000	0.405804	
819	0.269841	181	0.861878	3.904285	819	0.269841	0.377000	0.405216	
832	0.293269	168	0.833333	3.904285	832	0.293269	0.384000	0.404792	
832	0.318510	168	0.773810	3.904285	832	0.318510	0.395000	0.404600	
837	0.316607	163	0.815951	3.904285	837	0.316607	0.398000	0.404473	
831	0.317690	169	0.786982	3.904285	831	0.317690	0.397000	0.404332	
834	0.280576	166	0.819277	3.904285	834	0.280576	0.370000	0.403696	
820	0.292683	180	0.800000	3.904285	820	0.292683	0.384000	0.403338	
804	0.293532	196	0.821429	3.904285	804	0.293532	0.397000	0.403225	
844	0.325829	156	0.756410	3.904285	844	0.325829	0.393000	0.403046	
839	0.317044	161	0.826087	3.904285	839	0.317044	0.399000	0.402976	
844	0.311611	156	0.775641	3.904285	844	0.311611	0.384000	0.402654	
842	0.320665	158	0.797468	3.904285	842	0.320665	0.396000	0.402543	
838	0.282816	162	0.796296	3.904285	838	0.282816	0.366000	0.401944	
855	0.306433	145	0.800000	3.904285	855	0.306433	0.378000	0.401558	
831	0.324910	169	0.775148	3.904285	831	0.324910	0.401000	0.401549	
816	0.332108	184	0.798913	3.904285	816	0.332108	0.418000	0.401806	
833	0.273709	167	0.790419	3.904285	833	0.273709	0.360000	0.401163	
834	0.291367	166	0.740964	3.904285	834	0.291367	0.366000	0.400630	
829	0.296743	171	0.812865	3.904285	829	0.296743	0.385000	0.400397	
848	0.301887	152	0.796053	3.904285	848	0.301887	0.377000	0.400053	
840	0.309524	160	0.775000	3.904285	840	0.309524	0.384000	0.399820	
832	0.275240	168	0.791667	3.904285	832	0.275240	0.362000	0.399280	
845	0.299408	155	0.767742	3.904285	845	0.299408	0.372000	0.398896	
843	0.303677	157	0.821656	3.904285	843	0.303677	0.385000	0.398703	
839	0.308701	161	0.850932	3.904285	839	0.308701	0.396000	0.398666	
817	0.309670	183	0.754098	3.904285	817	0.309670	0.391000	0.398562	
806	0.310174	194	0.819588	3.904285	806	0.310174	0.409000	0.398701	
820	0.276829	180	0.800000	3.904285	820	0.276829	0.371000	0.398337	
838	0.282816	162	0.790123	3.904285	838	0.282816	0.365000	0.397904	
840	0.329762	160	0.800000	3.904285	840	0.329762	0.405000	0.397995	
834	0.296163	166	0.813253	3.904285	834	0.296163	0.382000	0.397792	
831	0.327316	169	0.852071	3.904285	831	0.327316	0.416000	0.398020	
849	0.305065	151	0.841060	3.904285	849	0.305065	0.386000	0.397872	
826	0.315981	174	0.718391	3.904285	826	0.315981	0.386000	0.397727	
832	0.348558	168	0.839286	3.904285	832	0.348558	0.431000	0.398128	
860	0.316279	140	0.742857	3.904285	860	0.316279	0.376000	0.397864	
851	0.314924	149	0.812081	3.904285	851	0.314924	0.389000	0.397760	
844	0.285545	156	0.826923	3.904285	844	0.285545	0.370000	0.397437	
852	0.289906	148	0.797297	3.904285	852	0.289906	0.365000	0.397064	
829	0.317250	171	0.789474	3.904285	829	0.317250	0.398000	0.397075	
823	0.321993	177	0.824859	3.904285	823	0.321993	0.411000	0.397231	
822	0.288321	178	0.803371	3.904285	822	0.288321	0.380000	0.397040	
836	0.336124	164	0.829268	3.904285	836	0.336124	0.417000	0.397259	
841	0.300832	159	0.817610	3.904285	841	0.300832	0.383000	0.397104	
848	0.320755	152	0.736842	3.904285	848	0.320755	0.384000	0.396963	
827	0.343410	173	0.809249	3.904285	827	0.343410	0.424000	0.397251	
831	0.332130	169	0.751479	3.904285	831	0.332130	0.403000	0.397312	
825	0.307879	175	0.811429	3.904285	825	0.307879	0.396000	0.397298	
836	0.342105	164	0.780488	3.904285	836	0.342105	0.414000	0.397470	
825	0.287273	175	0.794286	3.904285	825	0.287273	0.376000	0.397251	
810	0.339506	190	0.852632	3.904285	810	0.339506	0.437000	0.397653	
837	0.342891	163	0.809816	3.904285	837	0.342891	0.419000	0.397866	
841	0.306778	159	0.855346	3.904285	841	0.306778	0.394000	0.397828	
855	0.295906	145	0.806897	3.904285	855	0.295906	0.370000	0.397555	
844	0.290284	156	0.750000	3.904285	844	0.290284	0.362000	0.397210	
843	0.303677	157	0.808917	3.904285	843	0.303677	0.383000	0.397073	
831	0.310469	169	0.792899	3.904285	831	0.310469	0.392000	0.397025	
840	0.317857	160	0.825000	3.904285	840	0.317857	0.399000	0.397043	
851	0.294947	149	0.805369	3.904285	851	0.294947	0.371000	0.396800	
844	0.291469	156	0.788462	3.904285	844	0.291469	0.369000	0.396543	
831	0.311673	169	0.769231	3.904285	831	0.311673	0.389000	0.396473	
824	0.327670	176	0.789773	3.904285	824	0.327670	0.409000	0.396587	
815	0.314110	185	0.745946	3.904285	815	0.314110	0.394000	0.396564	
819	0.301587	181	0.773481	3.904285	819	0.301587	0.387000	0.396479	
852	0.347418	148	0.831081	3.904285	852	0.347418	0.419000	0.396678	
853	0.327081	147	0.789116	3.904285	853	0.327081	0.395000	0.396663	
833	0.318127	167	0.826347	3.904285	833	0.318127	0.403000	0.396718	
841	0.273484	159	0.830189	3.904285	841	0.273484	0.362000	0.396419	
837	0.309438	163	0.773006	3.904285	837	0.309438	0.385000	0.396321	
839	0.312277	161	0.732919	3.904285	839	0.312277	0.380000	0.396183	
840	0.341667	160	0.781250	3.904285	840	0.341667	0.412000	0.396316	
828	0.320048	172	0.750000	3.904285	828	0.320048	0.394000	0.396297	
831	0.320096	169	0.757396	3.904285	831	0.320096	0.394000	0.396278	
843	0.326216	157	0.745223	3.904285	843	0.326216	0.392000	0.396243	
843	0.341637	157	0.802548	3.904285	843	0.341637	0.414000	0.396387	
854	0.304450	146	0.821918	3.904285	854	0.304450	0.380000	0.396255	
843	0.327402	157	0.815287	3.904285	843	0.327402	0.404000	0.396317	
830	0.325301	170	0.800000	3.904285	830	0.325301	0.406000	0.396394	
833	0.312125	167	0.862275	3.904285	833	0.312125	0.404000	0.396454	
833	0.321729	167	0.802395	3.904285	833	0.321729	0.402000	0.396497	
